[19/05/2022 13:13:51] Player: Fabio Leandro | Reward: 1x tear of daraman
[19/05/2022 14:01:40] Player: Fabio Leandro | Reward: 2x anubis flask
[19/05/2022 21:33:25] Player: Fabio Leandro | Reward: 1x supreme ring
[19/05/2022 21:33:36] Player: Fabio Leandro | Reward: 3x orc leather
[19/05/2022 21:33:45] Player: Fabio Leandro | Reward: 100x diamond coin
[19/05/2022 21:35:59] Player: Fabio Leandro | Reward: 1x tear of daraman
[19/05/2022 21:36:15] Player: Fabio Leandro | Reward: 3x draken sulphur
[19/05/2022 21:36:39] Player: Fabio Leandro | Reward: 50x vampire lord token
[19/05/2022 21:37:04] Player: Fabio Leandro | Reward: 100x diamond coin
[19/05/2022 21:37:35] Player: Fabio Leandro | Reward: 3x orc leather
[19/05/2022 21:37:45] Player: Fabio Leandro | Reward: 3x draken sulphur
[19/05/2022 21:37:55] Player: Fabio Leandro | Reward: 3x orc leather
[19/05/2022 21:38:13] Player: Fabio Leandro | Reward: 3x Letal Dust
[19/05/2022 21:38:22] Player: Fabio Leandro | Reward: 1x supreme ring
[19/05/2022 21:38:31] Player: Fabio Leandro | Reward: 1x tear of daraman
[19/05/2022 21:38:42] Player: Fabio Leandro | Reward: 1x key of numerous locks
[19/05/2022 21:39:15] Player: Fabio Leandro | Reward: 3x orc leather
[19/05/2022 21:39:24] Player: Fabio Leandro | Reward: 1x supreme ring
[19/05/2022 21:39:35] Player: Fabio Leandro | Reward: 3x draken sulphur
[19/05/2022 21:39:46] Player: Fabio Leandro | Reward: 3x draken sulphur
[19/05/2022 21:39:55] Player: Fabio Leandro | Reward: 2x anubis flask
[19/05/2022 21:40:04] Player: Fabio Leandro | Reward: 3x draken sulphur
[19/05/2022 21:40:13] Player: Fabio Leandro | Reward: 1x ferumbras' hat
[19/05/2022 21:40:45] Player: Fabio Leandro | Reward: 3x draken sulphur
[20/05/2022 07:07:32] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[20/05/2022 07:11:51] Player: Fabio Leandro | Reward: 100x crystal coin
[20/05/2022 07:12:02] Player: Fabio Leandro | Reward: 100x supreme health potion
[20/05/2022 07:12:12] Player: Fabio Leandro | Reward: 1x addon doll
[20/05/2022 07:12:48] Player: Fabio Leandro | Reward: 1x pharaot boots
[20/05/2022 07:13:31] Player: Fabio Leandro | Reward: 100x crystal coin
[20/05/2022 07:13:50] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[20/05/2022 07:14:02] Player: Fabio Leandro | Reward: 5x diamond coin
[20/05/2022 07:14:17] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[20/05/2022 07:14:29] Player: Fabio Leandro | Reward: 1x stamina refil
[20/05/2022 07:14:42] Player: Fabio Leandro | Reward: 100x crystal coin
[20/05/2022 07:14:57] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[20/05/2022 07:15:10] Player: Fabio Leandro | Reward: 1x stamina refil
[20/05/2022 07:15:24] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[20/05/2022 07:15:37] Player: Fabio Leandro | Reward: 1x soulskull backpack
[20/05/2022 07:15:50] Player: Fabio Leandro | Reward: 100x supreme health potion
[20/05/2022 07:16:02] Player: Fabio Leandro | Reward: 100x supreme health potion
[20/05/2022 07:17:15] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[20/05/2022 07:17:30] Player: Fabio Leandro | Reward: 100x supreme health potion
[20/05/2022 12:41:39] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[20/05/2022 12:42:22] Player: Fabio Leandro | Reward: 1x vampire lord token
[20/05/2022 12:42:59] Player: Fabio Leandro | Reward: 1x addon doll
[20/05/2022 20:02:48] Player: Fabio Leandro | Reward: 100x crystal coin
[20/05/2022 20:02:58] Player: Fabio Leandro | Reward: 1x stamina refil
[20/05/2022 20:03:11] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[20/05/2022 20:03:35] Player: Fabio Leandro | Reward: 1x vampire lord token
[20/05/2022 22:44:33] Player: Juniorscripts | Reward: 1x soulpotter backpack
[21/05/2022 10:42:09] Player: Fabio Leandro | Reward: 5x diamond coin
[21/05/2022 10:47:47] Player: Fabio Leandro | Reward: 100x crystal coin
[21/05/2022 10:48:08] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[21/05/2022 10:48:26] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[21/05/2022 10:48:42] Player: Fabio Leandro | Reward: 1x pharaot boots
[21/05/2022 10:49:02] Player: Fabio Leandro | Reward: 1x pharaot boots
[21/05/2022 10:49:14] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[21/05/2022 10:49:24] Player: Fabio Leandro | Reward: 1x pharaot boots
[21/05/2022 10:49:36] Player: Fabio Leandro | Reward: 100x supreme health potion
[21/05/2022 10:49:58] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[21/05/2022 10:50:17] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[21/05/2022 10:50:33] Player: Fabio Leandro | Reward: 1x stamina refil
[21/05/2022 11:37:52] Player: Juniorscripts | Reward: 1x ferumbras' hat
