[12/12/2021 14:27:11] !wand energy
[12/12/2021 14:27:26] !wand holy
[12/12/2021 14:27:35] !wand holy
[12/12/2021 14:27:45] !wand holy
[14/12/2021 23:38:42] !wand energy
[15/12/2021 9:52:31] !wand energy
[15/12/2021 14:0:15] !wand energy
[16/12/2021 1:12:55] !wand ice
[16/12/2021 1:14:10] !wand energy
[16/12/2021 19:2:43] !wand ice
[16/12/2021 19:14:12] !serverinfo
[16/12/2021 19:17:14] !serverinfo
[16/12/2021 22:55:10] !wand ice
[16/12/2021 23:55:2] !wand ice
[17/12/2021 15:41:20] !wand fire
[10/2/2022 21:4:13] !emotespells off
[11/2/2022 17:12:3] !aol
[11/2/2022 17:50:50] !aol
[11/2/2022 18:28:46] !aol
[11/2/2022 18:32:32] !aol
[15/2/2022 19:35:46] !aol
[15/2/2022 19:39:24] !aol
[15/2/2022 19:39:28] !aol
[15/2/2022 19:39:31] !aol
[15/2/2022 19:39:34] !aol
[15/2/2022 19:39:37] !aol
[15/2/2022 19:39:40] !aol
[15/2/2022 19:39:44] !aol
[15/2/2022 19:39:47] !aol
[15/2/2022 19:39:50] !aol
[15/2/2022 19:39:53] !aol
[15/2/2022 19:39:56] !aol
[15/2/2022 19:40:0] !aol
[15/2/2022 19:40:3] !aol
[15/2/2022 19:40:6] !aol
[15/2/2022 19:40:9] !aol
[15/2/2022 19:40:13] !aol
[15/2/2022 19:40:16] !aol
[15/2/2022 19:40:19] !aol
[15/2/2022 19:40:22] !aol
[15/2/2022 19:40:25] !aol
[15/2/2022 19:40:28] !aol
[15/2/2022 19:40:32] !aol
[15/2/2022 19:40:35] !aol
[15/2/2022 19:40:38] !aol
[15/2/2022 19:40:41] !aol
[15/2/2022 19:40:44] !aol
[15/2/2022 19:40:48] !aol
[15/2/2022 19:40:51] !aol
[15/2/2022 19:40:54] !aol
[15/2/2022 19:40:57] !aol
[15/2/2022 19:41:0] !aol
[15/2/2022 20:5:21] !aol
[15/2/2022 21:54:59] !aol
[15/2/2022 21:55:2] !aol
[15/2/2022 21:55:5] !aol
[15/2/2022 21:55:9] !aol
[15/2/2022 21:55:12] !aol
[15/2/2022 21:55:15] !aol
[15/2/2022 21:55:18] !aol
[15/2/2022 21:55:21] !aol
[24/2/2022 11:43:51] !aol
[3/3/2022 14:19:45] !online
[8/3/2022 20:1:15] !online
