[10/12/2021 20:30:23] !guildpoints
[10/12/2021 21:36:39] !rank
[10/12/2021 21:36:44] !rank level
[10/12/2021 21:44:47] !emotespells on
[10/12/2021 22:12:35] !guildpoints
[10/12/2021 22:14:41] 
[10/12/2021 22:14:48] 
[10/12/2021 22:14:50] 
[10/12/2021 22:14:52] 
[10/12/2021 22:14:54] 
[10/12/2021 22:14:57] 
[10/12/2021 22:15:1] 
[10/12/2021 22:15:4] 
[10/12/2021 22:15:6] 
[10/12/2021 22:15:8] 
[10/12/2021 22:15:10] 
[10/12/2021 22:15:12] 
[10/12/2021 22:15:14] 
[10/12/2021 22:15:16] 
[10/12/2021 22:15:23] 
[10/12/2021 22:15:25] 
[10/12/2021 22:15:27] 
[10/12/2021 22:15:29] 
[10/12/2021 22:15:39] 
[10/12/2021 22:15:41] 
[10/12/2021 22:15:44] 
[10/12/2021 22:15:46] 
[10/12/2021 22:15:48] 
[10/12/2021 22:15:50] 
[10/12/2021 22:15:52] 
[10/12/2021 22:15:54] 
[10/12/2021 22:18:10] 
[10/12/2021 22:18:12] 
[10/12/2021 22:18:14] 
[10/12/2021 22:18:16] 
[10/12/2021 22:18:26] 
[10/12/2021 22:18:28] 
[10/12/2021 22:18:41] 
[10/12/2021 22:18:43] 
[10/12/2021 22:18:45] 
[10/12/2021 22:18:47] 
[10/12/2021 22:18:49] 
[10/12/2021 22:18:51] 
[10/12/2021 22:19:11] 
[10/12/2021 22:19:13] 
[10/12/2021 22:19:15] 
[10/12/2021 22:19:17] 
[10/12/2021 22:19:19] 
[10/12/2021 22:19:21] 
[10/12/2021 22:19:24] 
[10/12/2021 22:19:26] 
[10/12/2021 22:19:28] 
[10/12/2021 22:19:30] 
[10/12/2021 22:19:32] 
[10/12/2021 22:19:49] 
[10/12/2021 22:19:51] 
[10/12/2021 22:19:53] 
[10/12/2021 22:19:55] 
[10/12/2021 22:19:58] 
[10/12/2021 22:20:0] 
[10/12/2021 22:20:2] 
[10/12/2021 22:20:4] 
[10/12/2021 22:20:35] 
[10/12/2021 22:20:59] 
[10/12/2021 22:23:10] 
[10/12/2021 22:23:13] 
[10/12/2021 22:23:15] 
[10/12/2021 22:23:17] 
[10/12/2021 22:23:19] 
[10/12/2021 22:23:21] 
[10/12/2021 22:23:25] 
[10/12/2021 22:23:27] 
[10/12/2021 22:23:30] 
[10/12/2021 22:23:32] 
[10/12/2021 22:23:34] 
[10/12/2021 22:23:36] 
[10/12/2021 22:23:44] 
[10/12/2021 22:23:46] 
[10/12/2021 22:23:48] 
[10/12/2021 22:23:51] 
[10/12/2021 22:23:53] 
[10/12/2021 22:23:55] 
[10/12/2021 22:23:57] 
[10/12/2021 22:23:59] 
[10/12/2021 22:24:2] 
[10/12/2021 22:24:4] 
[10/12/2021 22:24:6] 
[10/12/2021 22:24:8] 
[10/12/2021 22:24:11] 
[10/12/2021 22:24:13] 
[10/12/2021 22:24:15] 
[10/12/2021 22:24:17] 
[10/12/2021 22:24:19] 
[10/12/2021 22:24:21] 
[10/12/2021 22:24:24] 
[10/12/2021 22:24:26] 
[10/12/2021 22:24:28] 
[10/12/2021 22:24:30] 
[10/12/2021 22:24:32] 
[10/12/2021 22:24:35] 
[10/12/2021 22:24:37] 
[10/12/2021 22:24:44] 
[10/12/2021 22:24:46] 
[10/12/2021 22:24:48] 
[10/12/2021 22:24:53] 
[10/12/2021 22:24:55] 
[10/12/2021 22:24:57] 
[10/12/2021 22:24:59] 
[10/12/2021 22:25:1] 
[10/12/2021 22:25:3] 
[10/12/2021 22:25:5] 
[10/12/2021 22:25:8] 
[10/12/2021 22:25:10] 
[10/12/2021 22:25:12] 
[10/12/2021 22:25:23] 
[10/12/2021 22:25:25] 
[10/12/2021 22:25:28] 
[10/12/2021 22:25:30] 
[10/12/2021 22:25:32] 
[10/12/2021 22:25:34] 
[10/12/2021 22:25:45] 
[10/12/2021 22:26:29] 
[10/12/2021 22:26:31] 
[10/12/2021 22:26:33] 
[10/12/2021 22:26:38] 
[10/12/2021 22:26:40] 
[10/12/2021 22:26:51] 
[10/12/2021 22:27:11] 
[10/12/2021 22:27:19] 
[10/12/2021 22:27:33] 
[10/12/2021 22:28:1] 
[10/12/2021 22:28:26] 
[10/12/2021 22:28:44] 
[10/12/2021 22:29:8] 
