[2/6/2022 6:0:14] !aol
[2/6/2022 6:32:3] !emotespells on
[2/6/2022 6:45:45] !emotespells on
[2/6/2022 6:47:23] !emotespells on
[2/6/2022 6:47:59] !emotespells on
[2/6/2022 6:52:27] !emotespells on
[2/6/2022 7:2:3] !emotespells on
[2/6/2022 7:17:17] !emotespells on
[2/6/2022 7:27:3] !emotespells on
[2/6/2022 7:37:31] !emotespells on
[2/6/2022 7:48:28] !emotespells on
[2/6/2022 7:52:23] !emotespells on
[2/6/2022 8:1:54] !emotespells on
[2/6/2022 5:10:8] !emotespells on
[2/6/2022 5:30:21] !aol
[2/6/2022 5:30:40] !emotespells on
[2/6/2022 5:31:17] !emotespells on
[2/6/2022 5:31:54] !emotespells on
[2/6/2022 5:32:31] !emotespells on
[2/6/2022 5:33:9] !emotespells on
[2/6/2022 5:33:46] !emotespells on
[2/6/2022 5:34:23] !emotespells on
[2/6/2022 5:35:0] !emotespells on
[2/6/2022 5:44:10] !emotespells on
[2/6/2022 5:52:0] !emotespells on
[2/6/2022 6:0:56] !emotespells on
[2/6/2022 6:8:53] !emotespells on
[2/6/2022 6:17:47] !emotespells on
[2/6/2022 6:27:39] !emotespells on
[2/6/2022 6:36:12] !emotespells on
[2/6/2022 6:44:11] !emotespells on
[2/6/2022 6:53:14] !emotespells on
[2/6/2022 7:2:20] !emotespells on
[2/6/2022 7:11:1] !emotespells on
[2/6/2022 7:18:51] !emotespells on
[2/6/2022 7:26:30] !emotespells on
[2/6/2022 7:33:35] !emotespells on
[2/6/2022 7:41:6] !emotespells on
[2/6/2022 7:49:42] !emotespells on
[2/6/2022 7:56:44] !emotespells on
[2/6/2022 8:3:29] !emotespells on
[2/6/2022 8:10:46] !emotespells on
[2/6/2022 8:17:28] !emotespells on
[2/6/2022 8:44:28] !aol
[2/6/2022 8:44:34] !emotespells on
[2/6/2022 8:53:44] !emotespells on
[2/6/2022 9:1:13] !emotespells on
[2/6/2022 9:7:56] !emotespells on
