[13/2/2022 6:1:54] !frags
[13/2/2022 13:12:18] 
[15/2/2022 19:53:36] !addon barbarian
[18/2/2022 16:51:18] !emotespells on
[18/2/2022 16:52:14] !emotespells on
[18/2/2022 16:53:10] !emotespells on
[18/2/2022 16:54:6] !emotespells on
[18/2/2022 16:55:2] !emotespells on
[18/2/2022 16:55:58] !emotespells on
[18/2/2022 16:56:54] !emotespells on
[18/2/2022 16:57:50] !emotespells on
[18/2/2022 16:58:46] !emotespells on
[18/2/2022 16:59:42] !emotespells on
[18/2/2022 17:0:38] !emotespells on
[18/2/2022 17:1:34] !emotespells on
[18/2/2022 17:2:30] !emotespells on
[18/2/2022 17:3:26] !emotespells on
[18/2/2022 17:4:22] !emotespells on
[18/2/2022 17:5:18] !emotespells on
[18/2/2022 17:6:14] !emotespells on
[18/2/2022 17:7:10] !emotespells on
[18/2/2022 17:8:6] !emotespells on
[18/2/2022 17:9:2] !emotespells on
[18/2/2022 17:9:58] !emotespells on
[18/2/2022 17:10:54] !emotespells on
[18/2/2022 17:11:50] !emotespells on
[18/2/2022 17:12:46] !emotespells on
[18/2/2022 17:13:42] !emotespells on
[18/2/2022 17:14:38] !emotespells on
[18/2/2022 17:15:34] !emotespells on
[18/2/2022 17:16:30] !emotespells on
[18/2/2022 17:17:26] !emotespells on
[18/2/2022 17:18:22] !emotespells on
[18/2/2022 17:19:18] !emotespells on
[18/2/2022 17:20:14] !emotespells on
[18/2/2022 17:21:10] !emotespells on
[18/2/2022 17:22:6] !emotespells on
[18/2/2022 17:23:2] !emotespells on
[18/2/2022 17:23:58] !emotespells on
[18/2/2022 17:24:54] !emotespells on
[18/2/2022 17:25:50] !emotespells on
[18/2/2022 17:26:46] !emotespells on
[18/2/2022 17:27:42] !emotespells on
[18/2/2022 17:28:38] !emotespells on
[18/2/2022 17:29:34] !emotespells on
[18/2/2022 17:30:30] !emotespells on
[18/2/2022 17:31:26] !emotespells on
[18/2/2022 17:32:22] !emotespells on
[18/2/2022 17:33:18] !emotespells on
[18/2/2022 17:34:14] !emotespells on
[18/2/2022 17:35:10] !emotespells on
[18/2/2022 17:36:6] !emotespells on
[18/2/2022 17:37:2] !emotespells on
[18/2/2022 17:37:58] !emotespells on
[18/2/2022 17:38:54] !emotespells on
[18/2/2022 17:39:50] !emotespells on
[18/2/2022 17:40:46] !emotespells on
[18/2/2022 17:41:42] !emotespells on
[18/2/2022 17:42:38] !emotespells on
[18/2/2022 17:43:34] !emotespells on
[18/2/2022 17:44:30] !emotespells on
[18/2/2022 17:45:26] !emotespells on
[18/2/2022 17:46:22] !emotespells on
[18/2/2022 17:47:18] !emotespells on
[18/2/2022 17:48:14] !emotespells on
[18/2/2022 17:49:10] !emotespells on
[18/2/2022 17:50:6] !emotespells on
[18/2/2022 17:51:2] !emotespells on
[18/2/2022 17:51:58] !emotespells on
[18/2/2022 17:52:54] !emotespells on
[18/2/2022 17:53:50] !emotespells on
[18/2/2022 17:54:46] !emotespells on
[18/2/2022 17:55:42] !emotespells on
[18/2/2022 17:56:38] !emotespells on
[18/2/2022 17:57:34] !emotespells on
[18/2/2022 17:58:30] !emotespells on
[18/2/2022 17:59:26] !emotespells on
[18/2/2022 18:0:22] !emotespells on
[18/2/2022 18:1:18] !emotespells on
[18/2/2022 18:2:14] !emotespells on
[18/2/2022 18:3:10] !emotespells on
[18/2/2022 18:4:6] !emotespells on
[18/2/2022 18:5:2] !emotespells on
[18/2/2022 18:5:58] !emotespells on
[18/2/2022 18:6:54] !emotespells on
[18/2/2022 18:7:50] !emotespells on
[18/2/2022 18:8:46] !emotespells on
[18/2/2022 18:9:42] !emotespells on
[18/2/2022 18:10:38] !emotespells on
[18/2/2022 18:11:34] !emotespells on
[18/2/2022 18:12:30] !emotespells on
[18/2/2022 18:13:26] !emotespells on
[18/2/2022 18:14:22] !emotespells on
[18/2/2022 18:15:18] !emotespells on
[18/2/2022 18:16:14] !emotespells on
[18/2/2022 18:17:10] !emotespells on
[18/2/2022 18:18:6] !emotespells on
[18/2/2022 18:19:2] !emotespells on
[18/2/2022 18:19:58] !emotespells on
[18/2/2022 18:20:54] !emotespells on
[18/2/2022 18:21:50] !emotespells on
[18/2/2022 18:22:46] !emotespells on
[18/2/2022 18:23:42] !emotespells on
[18/2/2022 18:24:38] !emotespells on
[18/2/2022 18:25:34] !emotespells on
[18/2/2022 18:26:30] !emotespells on
