[27/5/2022 22:32:30] !aol
[27/5/2022 22:36:29] !aol
[27/5/2022 22:47:14] !aol
[28/5/2022 0:35:51] !online
[28/5/2022 0:36:31] !emotespells off
[28/5/2022 15:44:19] 
[28/5/2022 15:44:21] 
[28/5/2022 15:44:23] 
[28/5/2022 15:44:26] 
[28/5/2022 15:44:29] 
[28/5/2022 15:45:2] 
[28/5/2022 15:45:6] 
[28/5/2022 15:45:8] 
[28/5/2022 15:46:24] 
[28/5/2022 15:46:26] 
[28/5/2022 15:46:42] 
[28/5/2022 15:46:58] 
[28/5/2022 15:47:0] 
[28/5/2022 15:47:2] 
[28/5/2022 15:47:4] 
[28/5/2022 15:47:6] 
[28/5/2022 15:48:37] 
[28/5/2022 15:48:39] 
[28/5/2022 15:49:53] 
[28/5/2022 15:50:37] 
[28/5/2022 15:50:58] 
[28/5/2022 15:51:2] 
[28/5/2022 15:51:4] 
[28/5/2022 15:51:36] !emotespells on
[28/5/2022 15:51:59] 
[28/5/2022 15:52:1] 
[28/5/2022 15:52:32] 
[28/5/2022 15:53:40] 
[28/5/2022 15:53:42] 
[28/5/2022 15:53:44] 
[28/5/2022 15:53:47] 
[28/5/2022 15:53:49] 
[28/5/2022 15:53:51] 
[28/5/2022 15:53:53] 
[28/5/2022 15:57:17] 
[28/5/2022 16:2:26] !emotespells on
[28/5/2022 16:3:2] 
[28/5/2022 16:3:38] 
[28/5/2022 16:3:42] 
[28/5/2022 16:3:44] 
[28/5/2022 16:3:46] 
[28/5/2022 16:3:48] 
[28/5/2022 16:3:50] 
[28/5/2022 16:3:52] 
[28/5/2022 16:5:6] 
[28/5/2022 16:5:28] 
[28/5/2022 16:5:30] 
[28/5/2022 16:5:34] 
[28/5/2022 16:5:36] 
[28/5/2022 16:6:13] 
[28/5/2022 16:6:15] 
[28/5/2022 16:6:17] 
[28/5/2022 16:6:19] 
[28/5/2022 16:6:21] 
[28/5/2022 16:6:52] 
[28/5/2022 16:6:54] 
[28/5/2022 16:8:41] 
[28/5/2022 16:8:43] 
[28/5/2022 16:9:1] 
[28/5/2022 16:9:5] 
[28/5/2022 16:9:7] 
[28/5/2022 16:9:37] 
[28/5/2022 16:9:56] 
[28/5/2022 16:10:20] 
[28/5/2022 16:10:22] 
[28/5/2022 16:10:58] !emotespells on
[28/5/2022 16:12:29] 
[28/5/2022 16:13:8] 
[28/5/2022 16:13:31] 
[28/5/2022 16:13:36] 
[28/5/2022 16:13:38] 
[28/5/2022 16:13:56] 
[28/5/2022 16:13:59] 
[28/5/2022 16:14:1] 
[28/5/2022 16:14:3] 
[28/5/2022 16:14:18] 
[28/5/2022 16:14:20] 
[28/5/2022 16:15:2] 
[28/5/2022 16:15:4] 
[28/5/2022 16:16:5] 
[28/5/2022 16:16:8] 
[28/5/2022 16:16:10] 
[28/5/2022 16:16:13] 
[28/5/2022 16:16:15] 
[28/5/2022 16:16:17] 
[28/5/2022 16:16:19] 
[28/5/2022 16:17:14] 
[28/5/2022 16:18:5] 
[28/5/2022 16:18:7] 
[28/5/2022 16:18:21] 
[28/5/2022 16:18:23] 
[28/5/2022 16:18:25] 
[28/5/2022 16:18:27] 
[28/5/2022 16:18:30] 
[28/5/2022 16:18:32] 
[28/5/2022 16:18:34] 
[28/5/2022 16:18:36] 
[28/5/2022 16:18:38] 
[28/5/2022 16:18:40] 
[28/5/2022 16:18:42] 
[28/5/2022 16:18:44] 
[28/5/2022 16:19:12] 
[28/5/2022 16:19:46] !emotespells on
[28/5/2022 16:20:44] 
[28/5/2022 16:20:48] 
[28/5/2022 16:20:50] 
[28/5/2022 16:21:38] 
[28/5/2022 16:21:40] 
[28/5/2022 16:21:42] 
[28/5/2022 16:21:44] 
[28/5/2022 16:21:46] 
[28/5/2022 16:22:4] 
[28/5/2022 16:22:6] 
[28/5/2022 16:22:8] 
