[17/2/2022 11:14:3] !aol
[17/2/2022 11:14:39] !emotespells on
[17/2/2022 11:40:23] !emotespells on
[17/2/2022 11:41:44] !emotespells on
[17/2/2022 11:42:39] !emotespells on
[17/2/2022 11:44:3] !emotespells on
[17/2/2022 11:44:59] !emotespells on
[17/2/2022 11:45:8] !emotespells on
[17/2/2022 11:45:10] !emotespells on
[17/2/2022 11:45:33] !emotespells on
[17/2/2022 11:46:30] !emotespells on
[17/2/2022 11:47:26] !emotespells on
[17/2/2022 11:48:22] !emotespells on
[17/2/2022 11:49:18] !emotespells on
[17/2/2022 11:50:14] !emotespells on
[17/2/2022 11:51:10] !emotespells on
[17/2/2022 11:52:6] !emotespells on
[17/2/2022 11:53:2] !emotespells on
[17/2/2022 11:53:58] !emotespells on
[17/2/2022 11:54:54] !emotespells on
[17/2/2022 11:55:50] !emotespells on
[17/2/2022 11:56:46] !emotespells on
[17/2/2022 11:57:42] !emotespells on
[17/2/2022 11:58:38] !emotespells on
[17/2/2022 11:59:34] !emotespells on
[17/2/2022 12:0:30] !emotespells on
[17/2/2022 12:1:26] !emotespells on
[17/2/2022 12:2:22] !emotespells on
[17/2/2022 12:2:48] !emotespells on
[18/2/2022 0:47:4] !emotespells on
[18/2/2022 0:48:0] !emotespells on
[18/2/2022 0:48:56] !emotespells on
[18/2/2022 0:49:52] !emotespells on
[18/2/2022 0:50:48] !emotespells on
[18/2/2022 0:51:30] !emotespells on
[18/2/2022 0:52:27] !emotespells on
[18/2/2022 0:53:23] !emotespells on
[18/2/2022 0:54:19] !emotespells on
[18/2/2022 0:55:15] !emotespells on
[18/2/2022 0:56:11] !emotespells on
[18/2/2022 0:57:7] !emotespells on
[18/2/2022 0:58:3] !emotespells on
[18/2/2022 0:58:59] !emotespells on
[18/2/2022 0:59:55] !emotespells on
[18/2/2022 1:0:51] !emotespells on
[18/2/2022 1:1:47] !emotespells on
[18/2/2022 1:2:43] !emotespells on
[18/2/2022 4:36:3] !aol
[18/2/2022 4:36:37] !aol
[18/2/2022 4:37:29] !aol
[18/2/2022 4:39:16] !aol
