[26/2/2022 19:52:23] !emotespells
[26/2/2022 19:52:32] !emotespells on
[27/2/2022 20:19:27] !guildpoints
[28/2/2022 11:57:16] !buyhouse
[28/2/2022 14:55:22] !frags
[3/3/2022 16:20:16] 
[3/3/2022 16:20:20] 
[3/3/2022 16:20:24] 
[3/3/2022 16:20:31] 
[3/3/2022 16:20:35] 
[3/3/2022 16:20:40] 
[3/3/2022 16:20:44] 
[3/3/2022 16:20:47] 
[3/3/2022 16:20:49] 
[3/3/2022 16:20:57] 
[3/3/2022 16:21:14] 
[3/3/2022 16:21:16] 
[3/3/2022 16:21:23] 
[3/3/2022 16:21:25] 
[3/3/2022 16:21:38] 
[3/3/2022 16:21:45] 
[3/3/2022 16:22:10] 
[3/3/2022 16:22:20] 
[3/3/2022 16:22:53] 
[3/3/2022 16:22:55] 
[3/3/2022 16:22:57] 
[3/3/2022 16:22:59] 
[3/3/2022 16:23:2] 
[3/3/2022 16:23:6] 
[3/3/2022 16:23:13] 
[3/3/2022 16:23:17] 
[3/3/2022 16:23:20] 
[3/3/2022 16:23:23] 
[3/3/2022 16:23:25] 
[3/3/2022 16:23:31] 
[3/3/2022 16:23:33] 
[3/3/2022 16:23:35] 
[3/3/2022 16:23:44] 
[3/3/2022 16:23:46] 
[3/3/2022 16:23:48] 
[3/3/2022 16:23:57] 
[3/3/2022 16:23:59] 
[3/3/2022 16:24:1] 
[3/3/2022 16:24:6] 
[3/3/2022 16:24:8] 
[3/3/2022 16:24:15] 
[3/3/2022 16:24:19] 
[3/3/2022 16:24:21] 
[3/3/2022 16:24:24] 
[3/3/2022 16:24:37] 
[3/3/2022 16:24:41] 
[3/3/2022 16:24:51] 
[3/3/2022 16:24:53] 
[3/3/2022 16:24:56] 
[3/3/2022 16:24:58] 
[3/3/2022 16:25:0] 
[3/3/2022 16:25:11] 
[3/3/2022 16:25:13] 
[3/3/2022 16:25:15] 
[3/3/2022 16:25:17] 
[3/3/2022 16:25:23] 
[3/3/2022 16:25:25] 
[3/3/2022 16:25:35] 
[3/3/2022 16:25:38] 
[3/3/2022 16:25:44] 
[3/3/2022 16:25:46] 
[3/3/2022 16:25:59] 
[3/3/2022 16:26:14] 
[3/3/2022 16:26:23] 
[3/3/2022 16:26:29] 
[3/3/2022 16:26:31] 
[3/3/2022 16:26:33] 
