[2/6/2022 12:39:25] !aol
[2/6/2022 12:40:10] !emotespells on
[2/6/2022 13:26:31] !aol
[2/6/2022 13:28:49] !aol
[2/6/2022 13:33:15] !aol
[2/6/2022 13:37:59] !aol
[4/6/2022 12:8:40] !emotespells on
[4/6/2022 14:58:21] !emotespells on
[4/6/2022 15:4:30] !emotespells on
[5/6/2022 18:39:52] !emotespells on
[5/6/2022 18:44:9] !emotespells on
[5/6/2022 18:48:9] !emotespells on
[5/6/2022 18:52:15] !emotespells on
[5/6/2022 18:56:39] !emotespells on
[5/6/2022 19:3:13] !emotespells on
[8/6/2022 6:50:26] !emotespells on
[8/6/2022 6:57:45] !emotespells on
[8/6/2022 7:3:19] !emotespells on
[8/6/2022 7:13:59] !emotespells on
[8/6/2022 7:16:53] !emotespells on
[8/6/2022 7:22:7] !emotespells on
[8/6/2022 7:29:25] !emotespells on
[8/6/2022 7:33:46] !emotespells on
[8/6/2022 7:39:27] !emotespells on
[8/6/2022 7:45:1] !emotespells on
[8/6/2022 7:48:28] !emotespells on
[8/6/2022 7:55:16] !emotespells on
[8/6/2022 8:2:20] !emotespells on
[8/6/2022 8:6:7] !emotespells on
[8/6/2022 8:12:31] !emotespells on
[8/6/2022 8:16:27] !emotespells on
[8/6/2022 8:21:49] !emotespells on
[8/6/2022 8:28:3] !emotespells on
[8/6/2022 8:31:18] !emotespells on
[8/6/2022 8:40:53] !emotespells on
[8/6/2022 8:43:27] !emotespells on
[8/6/2022 8:47:2] !emotespells on
[8/6/2022 8:52:2] !emotespells on
[8/6/2022 8:58:26] !emotespells on
[8/6/2022 9:5:53] !emotespells on
[8/6/2022 9:9:33] !emotespells on
[8/6/2022 9:14:30] !emotespells on
[8/6/2022 9:19:20] !emotespells on
[8/6/2022 9:26:29] !emotespells on
[8/6/2022 9:31:14] !emotespells on
[8/6/2022 9:35:31] !emotespells on
[8/6/2022 9:39:57] !emotespells on
[8/6/2022 9:46:2] !emotespells on
[8/6/2022 9:49:57] !emotespells on
[8/6/2022 9:54:1] !emotespells on
[8/6/2022 10:0:13] !emotespells on
[8/6/2022 10:6:58] !emotespells on
[8/6/2022 10:10:38] !emotespells on
[8/6/2022 10:15:50] !emotespells on
[8/6/2022 10:19:49] !emotespells on
[8/6/2022 10:24:18] !emotespells on
[8/6/2022 10:26:30] !emotespells on
[8/6/2022 10:29:56] !emotespells on
[8/6/2022 10:35:49] !emotespells on
[8/6/2022 10:42:20] !emotespells on
[8/6/2022 10:45:12] !emotespells on
[8/6/2022 10:50:54] !emotespells on
[8/6/2022 10:53:13] !emotespells on
[8/6/2022 10:58:29] !emotespells on
[8/6/2022 11:3:13] !emotespells on
[8/6/2022 11:7:27] !emotespells on
[8/6/2022 11:13:12] !emotespells on
[8/6/2022 11:20:34] !emotespells on
[8/6/2022 11:26:26] !emotespells on
[8/6/2022 11:30:6] !emotespells on
[8/6/2022 11:32:43] !emotespells on
[8/6/2022 11:36:52] !emotespells on
[8/6/2022 11:42:31] !emotespells on
[8/6/2022 11:48:34] !emotespells on
[8/6/2022 11:52:25] !emotespells on
[8/6/2022 11:57:35] !emotespells on
[8/6/2022 12:1:13] !emotespells on
[8/6/2022 12:7:25] !emotespells on
[8/6/2022 12:14:33] !emotespells on
[8/6/2022 12:20:45] !emotespells on
[8/6/2022 12:24:43] !emotespells on
[8/6/2022 12:31:11] !emotespells on
[8/6/2022 12:36:49] !emotespells on
[8/6/2022 12:44:9] !emotespells on
[8/6/2022 12:53:43] !emotespells on
[8/6/2022 12:57:53] !emotespells on
