[10/2/2022 20:21:2] !emotespells on
[10/2/2022 21:30:56] !aol
[10/2/2022 22:34:37] !aol
[11/2/2022 0:39:51] !serverinfo 
[11/2/2022 1:4:22] !aol
[11/2/2022 1:19:37] !aol
[11/2/2022 2:21:14] !aol
[11/2/2022 2:21:50] !aol
[11/2/2022 2:30:43] !aol
[11/2/2022 11:1:29] !serverinfo 
[12/2/2022 4:45:33] !serverinfo
[12/2/2022 4:50:27] !serverinfo
[12/2/2022 4:52:40] !addon
[12/2/2022 10:48:58] !serverinfo
[13/2/2022 11:2:8] !serverinfo
[13/2/2022 11:8:56] !online
[15/2/2022 10:44:24] !aol
[15/2/2022 10:56:12] !aol
[15/2/2022 11:19:58] !serverinfo 
[15/2/2022 15:39:24] !serverinfo
[15/2/2022 20:20:32] !aol
[16/2/2022 13:30:20] !serverinfo 
