[1/6/2022 11:6:38] !aol
[1/6/2022 12:36:26] !aol
[1/6/2022 12:41:9] !aol
[1/6/2022 12:49:56] !aol
[1/6/2022 13:0:3] !aol
[1/6/2022 13:55:17] !aol
[1/6/2022 16:26:10] !aol
[1/6/2022 16:49:32] !emotespells on
[1/6/2022 17:11:59] !emotespells on
[1/6/2022 17:21:1] !emotespells on
[1/6/2022 17:30:3] !emotespells on
[1/6/2022 17:57:14] !aol
[1/6/2022 18:7:54] !emotespells on
[1/6/2022 18:15:48] !emotespells on
[1/6/2022 18:26:55] !emotespells on
[1/6/2022 18:36:0] !emotespells on
[1/6/2022 18:46:45] !emotespells on
[1/6/2022 18:54:42] !emotespells on
[1/6/2022 19:4:19] !emotespells on
[1/6/2022 19:12:43] !emotespells on
[1/6/2022 19:23:18] !emotespells on
[1/6/2022 19:24:11] !emotespells on
[1/6/2022 19:29:4] !emotespells on
[1/6/2022 19:37:58] !emotespells on
[1/6/2022 19:49:31] !emotespells on
[1/6/2022 19:56:19] !emotespells on
[1/6/2022 20:12:18] !emotespells on
[2/6/2022 13:24:22] !aol
[2/6/2022 13:32:5] !emotespells on
[2/6/2022 13:37:50] !emotespells on
[2/6/2022 13:41:30] !emotespells on
[2/6/2022 13:48:41] !emotespells on
[2/6/2022 13:55:35] !emotespells on
[2/6/2022 14:1:59] !guildpoints
[2/6/2022 14:4:28] !guildpoints
[2/6/2022 14:4:47] !guildpoints
[2/6/2022 14:16:7] !emotespells on
[2/6/2022 14:20:33] !emotespells on
[2/6/2022 14:24:49] !emotespells on
[2/6/2022 14:32:8] !emotespells on
[2/6/2022 14:40:5] !emotespells on
[2/6/2022 14:49:5] !emotespells on
[2/6/2022 14:57:43] !emotespells on
[2/6/2022 15:6:9] !emotespells on
[2/6/2022 15:12:47] !emotespells on
[2/6/2022 15:20:39] !emotespells on
[2/6/2022 15:22:24] !emotespells on
[2/6/2022 15:27:45] !emotespells on
[2/6/2022 15:33:10] !emotespells on
[2/6/2022 15:37:51] !emotespells on
[2/6/2022 15:41:38] !emotespells on
[2/6/2022 15:50:38] !emotespells on
[2/6/2022 15:58:57] !emotespells on
[2/6/2022 16:5:20] !emotespells on
[2/6/2022 16:17:11] !emotespells on
[2/6/2022 16:23:51] !emotespells on
[2/6/2022 16:30:59] !emotespells on
[2/6/2022 16:39:54] !emotespells on
[2/6/2022 16:46:46] !emotespells on
[2/6/2022 16:53:38] !emotespells on
[2/6/2022 16:57:59] !emotespells on
[2/6/2022 17:2:21] !emotespells on
[2/6/2022 17:9:1] !emotespells on
[2/6/2022 17:18:1] !emotespells on
[2/6/2022 17:24:13] !emotespells on
[2/6/2022 17:31:8] !emotespells on
[2/6/2022 17:35:51] !emotespells on
[2/6/2022 18:8:46] !aol
[2/6/2022 18:10:3] !emotespells on
[2/6/2022 18:15:52] !emotespells on
[2/6/2022 18:21:9] !emotespells on
[2/6/2022 18:26:27] !emotespells on
[2/6/2022 18:31:35] !emotespells on
