[27/5/2022 20:51:57] !emotespells on
[27/5/2022 22:30:37] !aol
[29/5/2022 17:35:8] 
[29/5/2022 17:35:42] 
[29/5/2022 17:35:53] 
[29/5/2022 17:36:27] 
[29/5/2022 17:36:42] 
[29/5/2022 17:36:48] 
[29/5/2022 17:36:52] 
[29/5/2022 17:36:56] 
[29/5/2022 17:37:32] 
[29/5/2022 17:38:7] 
[29/5/2022 17:38:41] 
[29/5/2022 17:39:15] 
[29/5/2022 17:39:27] 
[29/5/2022 17:39:39] 
[29/5/2022 17:40:12] 
[29/5/2022 17:40:45] 
[29/5/2022 17:41:5] 
[29/5/2022 17:41:40] 
[29/5/2022 17:42:13] 
[29/5/2022 17:42:47] 
[29/5/2022 17:43:21] 
[29/5/2022 17:43:46] 
[29/5/2022 17:44:20] 
[29/5/2022 17:44:45] 
[29/5/2022 17:45:7] 
[29/5/2022 17:45:41] 
[29/5/2022 17:46:5] 
[29/5/2022 17:46:17] 
[29/5/2022 17:46:51] 
[29/5/2022 17:47:25] 
[29/5/2022 17:48:2] !emotespells on
[29/5/2022 17:48:33] 
[29/5/2022 17:49:8] 
[29/5/2022 17:49:42] 
[29/5/2022 17:49:53] 
[29/5/2022 17:50:27] 
[29/5/2022 17:50:33] 
[29/5/2022 17:51:6] 
[29/5/2022 17:51:36] 
[29/5/2022 17:52:10] 
[29/5/2022 17:52:43] 
[29/5/2022 17:52:51] 
[29/5/2022 17:53:10] 
[29/5/2022 17:53:44] 
[29/5/2022 17:54:18] 
[29/5/2022 17:54:52] 
[29/5/2022 17:55:26] 
[29/5/2022 17:56:0] 
[29/5/2022 17:56:24] !emotespells on
[29/5/2022 17:56:34] 
[29/5/2022 17:57:8] 
[29/5/2022 17:57:31] 
[29/5/2022 17:57:53] 
[29/5/2022 17:57:56] 
[29/5/2022 17:58:11] 
[29/5/2022 17:58:19] 
[29/5/2022 17:58:27] 
[29/5/2022 17:58:48] 
[29/5/2022 17:58:53] 
[29/5/2022 17:59:8] 
[29/5/2022 17:59:17] 
[29/5/2022 17:59:23] 
[29/5/2022 17:59:50] 
[29/5/2022 17:59:56] 
[29/5/2022 18:0:2] 
[29/5/2022 18:0:21] 
[29/5/2022 18:0:24] 
[29/5/2022 18:0:58] 
[29/5/2022 18:1:32] 
[29/5/2022 18:2:6] 
[29/5/2022 18:2:40] 
[29/5/2022 18:3:4] 
[29/5/2022 18:3:16] 
[29/5/2022 18:3:22] 
[29/5/2022 18:3:56] 
