[23/2/2022 20:7:6] !emotespells on
[23/2/2022 21:13:30] !aol
[23/2/2022 21:43:9] !aol
[23/2/2022 21:49:40] !guildpoints
[23/2/2022 23:0:39] !buyhouse
[24/2/2022 0:11:23] !buyhouse
[24/2/2022 0:11:29] aleta sio
[24/2/2022 0:12:17] aleta som
[24/2/2022 4:5:5] !aol
[24/2/2022 18:52:44] !frags
[24/2/2022 21:5:4] !aol
[24/2/2022 22:31:8] !aol
[25/2/2022 0:34:39] !aol
[25/2/2022 20:31:34] !aol
[26/2/2022 2:16:54] !aol
[26/2/2022 10:3:55] !aol
[26/2/2022 12:42:15] !aol
[27/2/2022 19:8:50] !aol
[28/2/2022 13:3:23] !aol
[1/3/2022 16:44:8] !aol
[2/3/2022 15:1:7] !aol
