[2/6/2022 2:0:33] !aol
[2/6/2022 13:29:41] !emotespells on
[2/6/2022 13:30:19] !emotespells off
[2/6/2022 13:35:15] !emotespells on
[2/6/2022 13:41:32] !emotespells on
[2/6/2022 13:55:13] !emotespells on
[2/6/2022 14:1:7] !emotespells on
[2/6/2022 14:6:2] !emotespells on
[2/6/2022 14:11:6] !emotespells on
[2/6/2022 14:32:11] !emotespells on
[2/6/2022 14:37:6] !emotespells on
[2/6/2022 14:42:13] !emotespells on
[2/6/2022 14:46:29] !emotespells on
[2/6/2022 14:49:56] !emotespells on
[2/6/2022 14:54:56] !emotespells on
[2/6/2022 15:3:45] !emotespells on
[2/6/2022 15:10:3] !emotespells on
[2/6/2022 15:14:45] !emotespells on
[2/6/2022 15:19:11] !emotespells on
[2/6/2022 15:35:39] !emotespells on
[2/6/2022 15:42:25] !emotespells on
[2/6/2022 15:48:12] !emotespells on
[2/6/2022 15:52:24] !emotespells on
[2/6/2022 15:56:44] !emotespells on
[2/6/2022 16:2:57] !emotespells on
[2/6/2022 16:11:6] !emotespells on
[2/6/2022 16:22:16] !emotespells on
[2/6/2022 16:30:34] !emotespells on
[2/6/2022 16:34:40] !emotespells on
[2/6/2022 16:39:44] !emotespells on
[2/6/2022 16:44:43] !emotespells on
[2/6/2022 16:50:27] !emotespells on
[2/6/2022 16:55:53] !emotespells on
[2/6/2022 17:0:34] !emotespells on
[2/6/2022 17:5:27] !emotespells on
[2/6/2022 17:20:3] !emotespells on
[2/6/2022 17:24:10] !emotespells on
[2/6/2022 17:28:22] !emotespells on
[2/6/2022 17:33:15] !emotespells on
[2/6/2022 17:47:57] !emotespells on
[2/6/2022 17:55:51] !emotespells on
[2/6/2022 18:14:18] !emotespells on
[2/6/2022 18:31:29] !emotespells on
[2/6/2022 18:38:35] !emotespells on
[2/6/2022 18:45:55] !emotespells on
[2/6/2022 18:54:39] !emotespells on
[2/6/2022 18:59:32] !emotespells on
[2/6/2022 19:49:21] !emotespells on
[2/6/2022 19:58:18] !emotespells on
[2/6/2022 20:16:20] !emotespells on
[2/6/2022 20:25:36] !emotespells on
[2/6/2022 20:33:30] !emotespells on
[2/6/2022 20:40:43] !emotespells on
[2/6/2022 20:48:24] !emotespells on
[2/6/2022 21:0:43] !emotespells on
[2/6/2022 21:9:43] !emotespells on
[2/6/2022 21:18:52] !emotespells on
[2/6/2022 21:27:21] !emotespells on
[2/6/2022 23:36:57] !emotespells on
[2/6/2022 23:44:7] !emotespells on
[2/6/2022 23:50:26] !emotespells on
[2/6/2022 23:59:16] !emotespells on
[3/6/2022 0:5:47] !emotespells on
[3/6/2022 0:12:15] !emotespells on
