[29/5/2022 14:15:5] !emotespells on
[30/5/2022 9:35:53] !guildpoints
[30/5/2022 9:46:45] !emotespells on
[30/5/2022 9:53:7] !emotespells on
[30/5/2022 10:0:56] !emotespells on
[30/5/2022 10:9:47] !emotespells on
[30/5/2022 10:21:19] !emotespells on
[30/5/2022 10:21:48] !emotespells on
[30/5/2022 10:23:5] !aol
[30/5/2022 11:46:37] !emotespells on
[30/5/2022 11:46:41] !aol
[30/5/2022 11:46:44] !aol
[30/5/2022 11:46:47] !aol
[30/5/2022 11:46:50] !aol
[30/5/2022 11:46:54] !aol
[30/5/2022 11:46:57] !aol
[30/5/2022 11:47:0] !aol
[30/5/2022 11:49:15] !aol
[30/5/2022 11:49:27] !aol
[30/5/2022 11:49:30] !aol
[30/5/2022 11:49:33] !aol
[30/5/2022 11:49:37] !aol
[30/5/2022 11:49:40] !aol
[30/5/2022 11:49:43] !aol
[30/5/2022 11:49:46] !aol
[30/5/2022 11:49:49] !aol
[30/5/2022 11:49:53] !aol
[30/5/2022 11:49:56] !aol
[30/5/2022 11:49:59] !aol
[30/5/2022 11:50:2] !aol
[30/5/2022 11:50:6] !aol
[30/5/2022 11:50:9] !aol
[30/5/2022 11:50:12] !aol
[30/5/2022 11:50:15] !aol
[30/5/2022 11:50:18] !aol
[30/5/2022 11:50:22] !aol
[30/5/2022 11:50:25] !aol
[30/5/2022 11:50:28] !aol
[30/5/2022 11:50:31] !aol
[30/5/2022 11:50:34] !aol
[30/5/2022 11:50:38] !aol
[30/5/2022 11:50:41] !aol
[30/5/2022 11:50:44] !aol
[30/5/2022 11:50:47] !aol
[30/5/2022 11:50:50] !aol
[30/5/2022 11:50:54] !aol
[30/5/2022 11:50:57] !aol
[30/5/2022 11:51:0] !aol
[30/5/2022 11:51:3] !aol
[30/5/2022 11:51:7] !aol
[30/5/2022 11:51:10] !aol
[30/5/2022 11:51:13] !aol
[30/5/2022 11:51:16] !aol
[30/5/2022 11:51:19] !aol
[30/5/2022 11:51:23] !aol
[30/5/2022 11:51:26] !aol
[30/5/2022 11:51:29] !aol
[30/5/2022 11:51:32] !aol
[30/5/2022 11:51:35] !aol
[30/5/2022 11:51:39] !aol
[30/5/2022 11:51:42] !aol
[30/5/2022 11:51:45] !aol
[30/5/2022 11:51:48] !aol
[30/5/2022 11:51:52] !aol
[30/5/2022 11:51:55] !aol
[30/5/2022 11:51:58] !aol
[30/5/2022 11:52:1] !aol
[30/5/2022 11:52:4] !aol
[30/5/2022 11:52:8] !aol
[30/5/2022 11:52:11] !aol
[30/5/2022 11:52:14] !aol
[30/5/2022 11:52:17] !aol
[30/5/2022 11:52:20] !aol
[30/5/2022 11:52:24] !aol
