[14/2/2022 12:26:5] !emotespells
[14/2/2022 12:53:0] !emotespells
[14/2/2022 13:4:10] !emotespells
[14/2/2022 13:4:12] !emotespells on
[19/2/2022 14:39:20] 
[19/2/2022 14:39:54] 
[19/2/2022 14:40:27] 
[19/2/2022 14:41:1] 
[19/2/2022 14:41:35] 
[19/2/2022 14:42:9] 
[19/2/2022 14:42:43] 
[19/2/2022 14:43:17] 
[19/2/2022 14:43:51] 
[19/2/2022 14:44:25] 
[19/2/2022 14:44:59] 
[19/2/2022 14:45:33] 
[19/2/2022 14:46:6] 
[19/2/2022 14:46:41] 
[19/2/2022 14:47:15] 
[19/2/2022 14:47:48] 
[19/2/2022 14:48:23] 
[19/2/2022 14:48:56] 
[19/2/2022 14:49:30] 
[19/2/2022 14:50:4] 
[19/2/2022 14:50:38] 
[19/2/2022 14:51:12] 
[19/2/2022 14:51:45] 
[19/2/2022 14:52:19] 
[19/2/2022 14:52:53] 
[19/2/2022 14:53:27] 
[19/2/2022 14:54:1] 
[19/2/2022 14:54:35] 
[19/2/2022 14:55:9] 
[19/2/2022 14:55:43] 
[19/2/2022 14:56:17] 
[19/2/2022 14:56:51] 
[19/2/2022 14:57:25] 
[19/2/2022 14:57:59] 
[19/2/2022 14:58:33] 
[19/2/2022 14:59:7] 
[19/2/2022 14:59:41] 
[19/2/2022 15:0:15] 
[19/2/2022 15:0:49] 
[19/2/2022 15:1:23] 
[19/2/2022 15:1:57] 
[19/2/2022 15:2:30] 
[19/2/2022 15:3:5] 
[19/2/2022 15:3:38] 
[19/2/2022 15:4:13] 
[19/2/2022 15:4:46] 
[19/2/2022 15:5:20] 
[19/2/2022 15:5:54] 
[19/2/2022 15:6:28] 
[19/2/2022 15:7:10] 
[19/2/2022 15:7:44] 
[19/2/2022 15:8:18] 
[19/2/2022 15:8:52] 
[19/2/2022 15:9:26] 
[19/2/2022 15:9:59] 
[19/2/2022 15:10:34] 
[19/2/2022 15:11:8] 
[19/2/2022 15:11:42] 
[19/2/2022 15:12:16] 
[19/2/2022 15:12:49] 
[19/2/2022 15:13:23] 
[19/2/2022 15:13:57] 
[19/2/2022 15:14:31] 
[19/2/2022 15:15:5] 
[19/2/2022 15:15:39] 
[19/2/2022 15:16:13] 
[19/2/2022 15:16:47] 
[19/2/2022 15:17:20] 
[19/2/2022 15:17:55] 
[19/2/2022 15:18:29] 
[19/2/2022 15:19:3] 
[19/2/2022 15:19:37] 
[19/2/2022 15:20:10] 
[19/2/2022 15:20:45] 
[19/2/2022 15:21:18] 
[19/2/2022 15:21:52] 
[19/2/2022 15:22:26] 
[19/2/2022 15:23:0] 
[19/2/2022 15:23:34] 
[19/2/2022 15:24:7] 
[19/2/2022 15:24:41] 
[19/2/2022 15:25:15] 
[19/2/2022 15:25:49] 
[19/2/2022 15:26:23] 
[19/2/2022 15:26:57] 
[19/2/2022 15:27:31] 
[19/2/2022 15:28:5] 
[19/2/2022 15:28:39] 
[19/2/2022 15:29:12] 
[19/2/2022 15:29:46] 
[19/2/2022 15:30:20] 
[19/2/2022 15:30:54] 
[19/2/2022 15:31:28] 
[19/2/2022 15:32:2] 
[19/2/2022 15:32:36] 
[19/2/2022 15:33:10] 
[19/2/2022 15:33:44] 
[19/2/2022 15:34:18] 
[19/2/2022 15:34:51] 
[19/2/2022 15:35:26] 
[19/2/2022 15:35:59] 
[19/2/2022 15:36:33] 
[19/2/2022 15:37:7] 
[19/2/2022 15:37:41] 
[19/2/2022 15:38:15] 
[19/2/2022 15:38:49] 
[19/2/2022 15:39:23] 
[19/2/2022 15:39:56] 
[19/2/2022 15:40:30] 
[19/2/2022 15:41:4] 
[19/2/2022 15:41:38] 
[19/2/2022 15:42:12] 
[19/2/2022 15:42:46] 
[19/2/2022 15:43:20] 
[19/2/2022 15:43:54] 
[19/2/2022 15:44:29] 
[19/2/2022 15:45:3] 
[19/2/2022 15:45:37] 
[19/2/2022 15:46:11] 
[19/2/2022 15:46:45] 
[19/2/2022 15:47:19] 
[19/2/2022 15:47:53] 
[19/2/2022 15:48:27] 
[19/2/2022 15:49:0] 
[19/2/2022 15:49:35] 
[19/2/2022 15:50:9] 
[19/2/2022 15:50:43] 
[19/2/2022 15:51:17] 
[19/2/2022 15:51:51] 
[19/2/2022 15:52:25] 
[19/2/2022 15:52:58] 
[19/2/2022 15:53:16] 
[19/2/2022 15:53:26] 
[19/2/2022 15:54:0] 
[19/2/2022 15:54:34] 
[19/2/2022 15:54:38] 
[19/2/2022 15:55:12] 
[19/2/2022 15:55:46] 
[19/2/2022 15:56:19] 
[19/2/2022 15:56:53] 
[19/2/2022 15:57:27] 
[19/2/2022 15:58:1] 
[19/2/2022 15:58:36] 
[19/2/2022 15:59:10] 
[19/2/2022 15:59:44] 
[19/2/2022 16:0:18] 
