[17/2/2022 2:56:23] !emotespells on
[17/2/2022 11:57:4] !guildpoints
[17/2/2022 11:57:7] !guildpoints
[17/2/2022 11:57:25] !guildpoints
[17/2/2022 12:0:50] !guildpoints
[17/2/2022 12:6:42] !guildpoints
[17/2/2022 12:8:6] !guildpoints
[17/2/2022 12:9:45] !guildpoints
[17/2/2022 12:10:37] !guildpoints
[17/2/2022 12:12:11] !guildpoints
[17/2/2022 12:13:7] !guildpoints
[17/2/2022 12:17:49] !guildpoints
[17/2/2022 12:21:41] !guildpoints
[17/2/2022 12:29:33] !guildpoints
[17/2/2022 12:30:26] !guildpoints
[17/2/2022 12:30:28] !guildpoints
[17/2/2022 12:31:5] !guildpoints
[17/2/2022 12:31:7] !guildpoints
[17/2/2022 12:31:18] !guildpoints
[17/2/2022 12:31:32] !guildpoints
[17/2/2022 12:31:50] !guildpoints
[17/2/2022 12:32:50] !guildpoints
[17/2/2022 12:34:23] !guildpoints
[17/2/2022 12:35:40] !guildpoints
[17/2/2022 12:36:0] !guildpoints
[17/2/2022 12:36:33] !guildpoints
[17/2/2022 12:37:20] !guildpoints
[17/2/2022 12:38:13] !guildpoints
[17/2/2022 12:39:6] !guildpoints
[17/2/2022 12:39:51] !guildpoints
[17/2/2022 12:40:20] !guildpoints
[17/2/2022 12:40:38] !guildpoints
[17/2/2022 12:40:42] !guildpoints
[17/2/2022 12:40:57] !guildpoints
[17/2/2022 12:41:33] !guildpoints
[17/2/2022 12:41:44] !guildpoints
[17/2/2022 12:43:48] !guildpoints
[17/2/2022 12:45:51] !guildpoints
[17/2/2022 13:12:55] !guildpoints
[17/2/2022 13:12:58] !guildpoints
[17/2/2022 13:23:59] !guildpoints
[17/2/2022 13:24:7] !guildpoints
[17/2/2022 13:36:48] !guildpoints
[17/2/2022 13:37:48] !guildpoints
[18/2/2022 10:20:28] !online
[18/2/2022 12:15:0] !frags
