[16/5/2022 9:22:5] !online
[16/5/2022 9:34:35] /t
[16/5/2022 9:44:36] /n Mystical Escriture 1
[16/5/2022 9:44:39] /n Mystical Escriture
[16/5/2022 9:45:13] /t
[16/5/2022 9:46:4] /summon isis
[16/5/2022 9:48:43] /npc isis
[16/5/2022 9:48:54] /npc Isis
[16/5/2022 9:48:59] /npc Captain Vip
[16/5/2022 10:15:5] /up
[16/5/2022 10:16:7] /down
[16/5/2022 10:18:21] /up
[16/5/2022 10:18:23] /down
[16/5/2022 10:18:24] /down
[16/5/2022 10:18:28] /down
[16/5/2022 10:27:32] /up
[16/5/2022 10:27:34] /up
[16/5/2022 10:27:45] /down
[16/5/2022 10:27:48] /down
[16/5/2022 10:28:1] /t
[16/5/2022 11:23:15] /n terra legs
[16/5/2022 11:23:20] /n terra legs
[16/5/2022 11:25:36] /i terra legs
[16/5/2022 11:25:40] /i terra mantle
[16/5/2022 11:25:41] /i terra mantle
[16/5/2022 11:25:42] /i terra mantle
[16/5/2022 11:25:42] /i terra mantle
[16/5/2022 11:25:43] /i terra mantle
[16/5/2022 11:30:50] /i terra mantle
[16/5/2022 11:30:51] /i terra mantle
[16/5/2022 11:30:52] /i terra mantle
[16/5/2022 11:30:53] /i terra mantle
[16/5/2022 11:30:59] /i Medusa Shield
[16/5/2022 11:31:0] /i Medusa Shield
[16/5/2022 11:31:5] /i Terra Mantle
[16/5/2022 11:31:6] /i Terra Mantle
[16/5/2022 11:31:10] /i Terra Legs
[16/5/2022 11:31:11] /i Terra Legs
[16/5/2022 11:37:48] /t
[16/5/2022 11:52:26] /openserver
[16/5/2022 12:24:46] /t
[16/5/2022 12:30:57] /ads richter belmont, level, 150
[16/5/2022 12:31:15] /ads richter belmont, magic, 90
[16/5/2022 12:43:10] /ads Junior Script, 140
[16/5/2022 12:43:18] /ads Junior Script, level, 140
[16/5/2022 12:43:30] /ads Junior Script, distance, 120
[16/5/2022 13:5:25] /t
[16/5/2022 13:15:52] /ads testando scripts, level 140
[16/5/2022 13:16:58] /ads Testando Scripts, level 140
[16/5/2022 13:17:7] /ads Testando Scripts, level 140
[16/5/2022 13:17:14] /ads Testando Scripts, level 14000
[16/5/2022 13:17:23] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:27] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:28] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:29] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:29] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:30] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:30] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:31] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:31] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:32] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:32] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:33] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:34] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:34] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:35] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:35] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:36] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:36] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:37] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:38] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:38] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:39] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:39] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:40] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:40] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:46] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:47] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:47] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:48] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:48] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:49] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:50] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:50] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:51] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:51] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:52] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:53] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:53] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:54] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:54] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:55] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:56] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:56] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:57] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:57] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:58] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:59] /ads Testando Scripts, level 14000000000
[16/5/2022 13:17:59] /ads Testando Scripts, level 14000000000
[16/5/2022 13:18:0] /ads Testando Scripts, level 14000000000
[16/5/2022 13:18:0] /ads Testando Scripts, level 14000000000
[16/5/2022 13:18:1] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:15] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:16] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:16] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:17] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:17] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:18] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:19] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:19] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:20] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:20] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:22] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:23] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:23] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:24] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:24] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:25] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:26] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:26] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:27] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:27] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:28] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:28] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:29] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:30] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:38] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:39] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:39] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:40] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:40] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:41] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:42] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:42] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:43] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:44] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:44] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:45] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:45] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:46] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:46] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:47] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:48] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:48] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:49] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:49] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:50] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:50] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:51] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:52] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:52] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:53] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:53] /ads Testando Scripts, level 14000000000
[16/5/2022 13:19:59] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:0] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:0] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:1] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:2] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:2] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:3] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:3] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:4] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:5] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:5] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:6] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:7] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:7] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:8] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:8] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:9] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:9] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:10] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:11] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:11] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:12] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:13] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:13] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:14] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:15] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:15] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:16] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:16] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:17] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:18] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:18] /ads Testando Scripts, level 14000000000
[16/5/2022 13:20:19] /ads Testando Scripts, level 14000000000
[16/5/2022 13:29:19] /i crystal coins
[16/5/2022 13:29:24] /i crystal coins
[16/5/2022 13:29:38] /i crystal coins 100
[16/5/2022 13:29:43] /i crystal coins
[16/5/2022 13:29:44] /i crystal coins
[16/5/2022 13:29:51] /i 100 crystal coins
[16/5/2022 13:29:52] /i 100 crystal coins
[16/5/2022 13:30:20] /i terra legs
[16/5/2022 13:30:21] /i terra legs
[16/5/2022 13:30:21] /i terra legs
[16/5/2022 13:30:22] /i terra legs
[16/5/2022 13:30:22] /i terra legs
[16/5/2022 13:30:23] /i terra legs
[16/5/2022 13:30:23] /i terra legs
[16/5/2022 13:30:24] /i terra legs
[16/5/2022 13:30:24] /i terra legs
[16/5/2022 13:30:25] /i terra legs
[16/5/2022 13:30:25] /i terra legs
[16/5/2022 13:30:25] /i terra legs
[16/5/2022 13:30:26] /i terra legs
[16/5/2022 13:30:26] /i terra legs
[16/5/2022 14:4:58] /t
[16/5/2022 14:5:46] /ads Testando Scripts, magic, 80
[16/5/2022 14:7:42] /ads testando scripts, level 50
[16/5/2022 14:7:54] /ads testando scripts, level, 50
[16/5/2022 14:10:3] /ads Juniorscripts, level, 500
[16/5/2022 14:12:26] /ads testando scripts, level, 50
[16/5/2022 14:13:43] /t
[16/5/2022 14:13:46] /t
[16/5/2022 14:14:34] /i eldritch bow 
[16/5/2022 14:14:49] /i eldritch quiver.
[16/5/2022 14:14:53] /i eldritch quiver
[16/5/2022 14:15:34] /i Paladin Armor
[16/5/2022 14:15:44] /i Golden Legs
[16/5/2022 14:15:58] /i Falcon Coif
[16/5/2022 14:16:59] /i crystal coins
[16/5/2022 14:17:3] /i crystal coins
[16/5/2022 14:18:50] /i royal crosbow
[16/5/2022 14:18:53] /i royal crosbow
[16/5/2022 14:18:57] /i royal crossbo
[16/5/2022 14:18:59] /i royal crossbow
[16/5/2022 14:19:5] /i infernal bolt
[16/5/2022 14:21:56] /ads testando scripts, shieldin, 80
[16/5/2022 14:22:3] /ads testando scripts, shieldin, 80
[16/5/2022 14:22:5] /ads testando scripts, shieldin, 80
[16/5/2022 14:22:19] /ads testando scripts, shield, 80
[16/5/2022 14:22:47] /ads testando scripts, level, 50
[16/5/2022 14:23:1] /ads Testando Scripts, level, 50
[16/5/2022 14:23:10] /ads Testando Scripts, level, 50
[16/5/2022 14:23:13] /ads Testando Scripts, level,50
[16/5/2022 14:23:17] /ads Testando Scripts,level,50
[16/5/2022 14:23:54] /ads Junior Script,Shielding, 80
[16/5/2022 14:23:59] /ads Junior Script, Shielding, 80
[16/5/2022 14:24:10] /ads Junior Script, Shielding, -80
[16/5/2022 14:24:15] /ads Junior Script, Shielding, -80
[16/5/2022 14:24:20] /ads Junior Script, Shielding, -80
[16/5/2022 14:24:27] /ads Junior Script, Shielding, -080
[16/5/2022 14:24:44] /ads Junior Script, Shielding, -100
[16/5/2022 14:24:53] /ads Junior Script, Shielding, - 100
[16/5/2022 14:25:3] /ads Junior Script, Shielding - 100
[16/5/2022 14:25:14] /ads Junior Script, Shielding, 0100
[16/5/2022 14:25:25] /ads Junior Script, Shielding, 68
[16/5/2022 14:25:45] /ads Junior Script, level, 40
[16/5/2022 14:30:5] /ads Junior Script, level, 80
[16/5/2022 14:56:46] /ads Junior Script, level, 60
[16/5/2022 15:54:38] /t
