[15/2/2022 23:0:30] !aol
[21/2/2022 19:8:32] !online
[21/2/2022 22:2:15] !online
[24/2/2022 18:29:45] 
[24/2/2022 18:29:48] 
[24/2/2022 18:29:50] 
[24/2/2022 18:29:53] 
[24/2/2022 18:29:55] 
[24/2/2022 18:29:58] 
[24/2/2022 18:30:0] 
[24/2/2022 18:30:3] 
[24/2/2022 18:30:5] 
[24/2/2022 18:30:7] 
[24/2/2022 18:30:10] 
[24/2/2022 18:30:12] 
[24/2/2022 18:30:15] 
[24/2/2022 18:30:17] 
[24/2/2022 18:30:20] 
[24/2/2022 18:30:23] 
[24/2/2022 18:30:26] 
[24/2/2022 18:30:28] 
[24/2/2022 18:30:31] 
[24/2/2022 18:30:33] 
[24/2/2022 18:30:35] 
[24/2/2022 18:30:38] 
[24/2/2022 18:30:40] 
[24/2/2022 18:30:43] 
[24/2/2022 18:30:45] 
[24/2/2022 18:30:48] 
[24/2/2022 18:30:50] 
[24/2/2022 18:30:53] 
[24/2/2022 18:30:55] 
[24/2/2022 18:30:57] 
[24/2/2022 18:31:0] 
[24/2/2022 18:31:2] 
[24/2/2022 18:31:5] 
[24/2/2022 18:31:7] 
[24/2/2022 18:31:10] 
[24/2/2022 18:31:13] 
[24/2/2022 18:31:16] 
[24/2/2022 18:31:18] 
[24/2/2022 18:31:21] 
[24/2/2022 18:31:23] 
[24/2/2022 18:31:25] 
[24/2/2022 18:31:28] 
[24/2/2022 18:31:30] 
[24/2/2022 18:31:33] 
[24/2/2022 18:31:35] 
[24/2/2022 18:31:38] 
[24/2/2022 18:31:40] 
[24/2/2022 18:31:43] 
[24/2/2022 18:31:45] 
[24/2/2022 18:31:47] 
[24/2/2022 18:32:27] 
[24/2/2022 18:32:30] 
[24/2/2022 18:32:37] 
[24/2/2022 18:32:40] 
[24/2/2022 18:32:42] 
[24/2/2022 18:32:45] 
[24/2/2022 18:32:47] 
[24/2/2022 18:32:49] 
[24/2/2022 18:32:52] 
[24/2/2022 18:32:54] 
[24/2/2022 18:32:57] 
[24/2/2022 18:32:59] 
[24/2/2022 18:33:2] 
[24/2/2022 18:33:6] 
[24/2/2022 18:33:9] 
[24/2/2022 18:33:11] 
[24/2/2022 18:33:14] 
[24/2/2022 18:33:16] 
[24/2/2022 18:33:19] 
[24/2/2022 18:33:21] 
[24/2/2022 18:33:24] 
[24/2/2022 18:33:26] 
[24/2/2022 18:33:28] 
[24/2/2022 18:33:31] 
[24/2/2022 18:33:33] 
[24/2/2022 18:33:36] 
[24/2/2022 18:33:38] 
[24/2/2022 18:33:41] 
[24/2/2022 18:33:43] 
[24/2/2022 18:33:45] 
[24/2/2022 18:33:48] 
[24/2/2022 18:33:50] 
[24/2/2022 18:33:53] 
[24/2/2022 18:33:55] 
[24/2/2022 18:33:58] 
[24/2/2022 18:34:1] 
[24/2/2022 18:34:6] 
[24/2/2022 18:34:9] 
[24/2/2022 18:34:11] 
[24/2/2022 18:34:14] 
[24/2/2022 18:34:16] 
[24/2/2022 18:34:19] 
[24/2/2022 18:34:21] 
[24/2/2022 18:34:23] 
[24/2/2022 18:34:26] 
[24/2/2022 18:34:28] 
[24/2/2022 18:34:31] 
[24/2/2022 18:34:33] 
[24/2/2022 18:34:36] 
[24/2/2022 18:34:38] 
[24/2/2022 18:34:41] 
[24/2/2022 18:34:44] 
[24/2/2022 18:35:42] !emotespells on
[1/4/2022 0:50:50] !addon revenant
[1/4/2022 10:38:31] /c ajudante
[1/4/2022 10:38:41] /goto 219,60,7
[1/4/2022 10:38:45] /light
[1/4/2022 10:40:13] /i 776
[1/4/2022 10:40:15] /i 7762
[1/4/2022 10:40:41] /c ajudante
