[13/2/2022 23:35:39] !emotespells on
[13/2/2022 23:50:31] !aol
[14/2/2022 5:49:16] !tradeoff
[14/2/2022 5:49:21] !tradeoff add, dragon scale mail
[14/2/2022 5:49:27] !tradeoff info
[14/2/2022 5:49:33] !tradeoff info
[14/2/2022 5:50:1] !tradeoff add, royal helmet
[14/2/2022 5:50:9] !tradeoff add, dragon scale mail
[14/2/2022 5:50:16] !tradeoff
[14/2/2022 5:50:28] !tradeoff
[14/2/2022 14:9:9] !frags
[14/2/2022 22:4:9] 
[14/2/2022 22:4:55] 
[14/2/2022 22:5:17] 
[14/2/2022 22:5:40] 
[14/2/2022 22:6:3] 
[14/2/2022 22:6:25] 
[14/2/2022 22:6:47] 
[14/2/2022 22:7:10] 
[14/2/2022 22:7:33] 
[14/2/2022 22:7:56] 
[14/2/2022 22:8:18] 
[14/2/2022 22:8:41] 
[14/2/2022 22:9:4] 
[14/2/2022 22:9:26] 
[14/2/2022 22:9:50] 
[14/2/2022 22:10:12] 
[14/2/2022 22:10:35] 
[14/2/2022 22:10:58] 
[14/2/2022 22:11:21] 
[14/2/2022 22:11:43] 
[14/2/2022 22:12:6] 
[14/2/2022 22:12:29] 
[14/2/2022 22:12:51] 
[14/2/2022 22:13:14] 
[14/2/2022 22:13:36] 
[14/2/2022 22:13:59] 
[14/2/2022 22:14:22] 
[14/2/2022 22:14:44] 
[14/2/2022 22:15:7] 
[14/2/2022 22:15:30] 
[14/2/2022 22:15:53] 
[14/2/2022 22:16:16] 
[14/2/2022 22:16:38] 
[14/2/2022 22:17:1] 
[14/2/2022 22:17:24] 
[14/2/2022 22:17:46] 
[14/2/2022 22:18:9] 
[14/2/2022 22:18:31] 
[14/2/2022 22:18:54] 
[14/2/2022 22:19:17] 
[14/2/2022 22:19:39] 
[14/2/2022 22:20:2] 
[14/2/2022 22:20:30] 
[14/2/2022 22:20:53] 
[14/2/2022 22:20:56] 
[14/2/2022 22:20:58] 
[14/2/2022 22:21:8] 
[14/2/2022 22:21:31] 
[14/2/2022 22:21:54] 
[14/2/2022 22:22:16] 
[14/2/2022 22:22:39] 
[14/2/2022 22:23:2] 
[14/2/2022 22:23:24] 
[14/2/2022 22:23:47] 
[14/2/2022 22:24:9] 
[14/2/2022 22:24:32] 
[14/2/2022 22:24:54] 
[14/2/2022 22:25:16] 
[14/2/2022 22:25:39] 
[14/2/2022 22:26:2] 
[14/2/2022 22:26:24] 
[14/2/2022 22:26:47] 
[14/2/2022 22:27:10] 
[14/2/2022 22:27:33] 
[14/2/2022 22:27:57] 
[14/2/2022 22:28:21] 
[14/2/2022 22:28:44] 
[14/2/2022 22:29:6] 
[14/2/2022 22:29:29] 
[14/2/2022 22:29:52] 
[14/2/2022 22:30:15] 
[14/2/2022 22:30:38] 
[14/2/2022 22:31:0] 
[14/2/2022 22:31:23] 
[14/2/2022 22:31:46] 
[14/2/2022 22:32:8] 
[14/2/2022 22:32:31] 
[14/2/2022 22:32:54] 
[14/2/2022 22:33:17] 
[14/2/2022 22:33:39] 
[14/2/2022 22:34:2] 
[14/2/2022 22:34:24] 
[14/2/2022 22:34:47] 
[14/2/2022 22:35:9] 
[14/2/2022 22:35:32] 
[14/2/2022 22:35:55] 
[14/2/2022 22:36:18] 
[14/2/2022 22:36:40] 
[14/2/2022 22:37:4] 
[14/2/2022 22:37:27] 
[14/2/2022 22:37:49] 
[14/2/2022 22:38:12] 
[14/2/2022 22:38:35] 
[14/2/2022 22:38:58] 
[14/2/2022 22:39:20] 
[14/2/2022 22:39:43] 
[14/2/2022 22:40:6] 
[14/2/2022 22:40:28] 
[14/2/2022 22:40:51] 
[14/2/2022 22:41:14] 
[14/2/2022 22:41:37] 
[14/2/2022 22:42:0] 
[14/2/2022 22:42:22] 
[14/2/2022 22:42:45] 
[14/2/2022 22:43:8] 
[14/2/2022 22:43:31] 
[14/2/2022 22:43:55] 
[14/2/2022 22:44:18] 
[14/2/2022 22:44:41] 
[14/2/2022 22:45:3] 
[14/2/2022 22:45:26] 
[14/2/2022 22:45:49] 
[14/2/2022 22:46:12] 
[14/2/2022 22:46:34] 
[14/2/2022 22:46:57] 
[14/2/2022 22:47:20] 
[14/2/2022 22:47:42] 
[14/2/2022 22:48:5] 
[14/2/2022 22:48:28] 
[14/2/2022 22:48:50] 
[14/2/2022 22:49:13] 
[14/2/2022 22:49:36] 
[14/2/2022 22:49:58] 
[14/2/2022 22:50:21] 
[14/2/2022 22:50:43] 
[14/2/2022 22:51:6] 
[14/2/2022 22:51:29] 
[14/2/2022 22:51:51] 
[14/2/2022 22:52:14] 
[14/2/2022 22:52:37] 
[14/2/2022 22:52:59] 
[14/2/2022 22:53:22] 
[14/2/2022 22:53:44] 
[14/2/2022 22:54:7] 
[14/2/2022 22:54:31] 
[14/2/2022 22:54:54] 
[14/2/2022 22:55:18] 
[14/2/2022 22:55:41] 
[14/2/2022 22:56:3] 
[14/2/2022 22:56:26] 
[14/2/2022 22:56:49] 
[14/2/2022 22:57:11] 
[14/2/2022 22:57:53] 
[14/2/2022 22:58:15] 
[14/2/2022 22:58:38] 
[14/2/2022 22:59:0] 
[14/2/2022 22:59:23] 
[14/2/2022 22:59:46] 
[14/2/2022 23:0:12] 
[14/2/2022 23:0:35] 
[14/2/2022 23:0:58] 
[14/2/2022 23:1:20] 
[14/2/2022 23:1:43] 
[14/2/2022 23:2:5] 
[14/2/2022 23:2:28] 
[14/2/2022 23:2:51] 
[14/2/2022 23:3:14] 
