[11/12/2021 2:25:37] !aol
[11/12/2021 2:38:57] !aol
[11/12/2021 17:51:27] !wand energy
[12/12/2021 9:39:9] !wand energy
[13/12/2021 1:32:33] !wand holy
[13/12/2021 1:56:56] !wand ice
[13/12/2021 13:22:44] !wand energy
[13/12/2021 20:42:12] !wand holy
[13/12/2021 21:59:55] !wand energy
[13/12/2021 22:15:25] !wand holy
[14/12/2021 1:3:45] !wand energy
[14/12/2021 8:13:37] !wand energy
[14/12/2021 21:24:37] !wand ice
[14/12/2021 22:38:54] !wand energy
[15/12/2021 9:8:1] !wand energy
[16/12/2021 19:32:58] !wand ice
[17/12/2021 7:40:41] !wand energy
[20/12/2021 15:37:3] !wand energy
[21/12/2021 8:16:0] !wand energy
