[10/12/2021 20:8:41] !buyhouse
[10/12/2021 21:6:34] !wand ice
[10/12/2021 21:16:10] !buyhouse
[10/12/2021 21:16:18] !buyhouse
[10/12/2021 21:18:10] !buyhouse
[11/12/2021 1:38:0] aleta sio
[11/12/2021 1:58:39] !wand ice
[11/12/2021 12:54:41] aleta sio
[11/12/2021 12:54:45] aleta grav
[11/12/2021 12:54:47] aleta som
[11/12/2021 12:54:51] aleta sio
[11/12/2021 12:54:55] aleta som
[11/12/2021 12:55:1] aleta grav
[11/12/2021 18:34:48] !wand ice
[11/12/2021 19:27:20] aleta sio
[11/12/2021 19:27:31] aleta sio
[11/12/2021 19:27:41] aleta sio
[11/12/2021 19:28:27] aleta sio
[11/12/2021 19:28:37] aleta sio
[12/12/2021 0:7:23] !wand ice
[12/12/2021 0:9:45] !wand energy
[12/12/2021 0:11:52] !wand holy
[12/12/2021 0:11:59] !wand ice
[12/12/2021 0:12:4] !wand ice
[12/12/2021 0:12:10] !wand ice
[12/12/2021 0:12:14] !wand ice
[12/12/2021 0:12:25] !wand energy
[12/12/2021 8:25:57] !wand energy
[12/12/2021 19:17:17] !wand energy
[12/12/2021 19:42:11] !wand energy
[13/12/2021 7:24:0] !wand energy
[13/12/2021 13:17:5] !wand energy
[14/12/2021 19:28:7] !wand energy
[15/12/2021 7:33:4] !wand energy
[15/12/2021 19:20:5] !wand energy
[15/12/2021 19:40:53] !wand ice
[15/12/2021 20:36:0] !wand energy
[15/12/2021 20:38:27] !wand holy
[15/12/2021 22:35:49] !wand energy
[15/12/2021 23:24:12] !wand holy
[16/12/2021 1:36:30] !wand energy
[16/12/2021 21:47:22] !wand energy
[16/12/2021 21:50:2] !wand holy
[17/12/2021 18:28:58] !wand energy
[18/12/2021 11:53:6] !wand energy
