[5/6/2022 12:45:39] !aol
[5/6/2022 13:27:0] !aol
[5/6/2022 14:6:10] !aol
[5/6/2022 14:8:1] !emotespells on
[5/6/2022 14:17:4] !emotespells on
[5/6/2022 14:25:24] !emotespells on
[5/6/2022 14:29:15] !emotespells on
[5/6/2022 14:33:1] !emotespells on
[5/6/2022 14:36:49] !emotespells on
[5/6/2022 14:40:40] !emotespells on
[5/6/2022 14:43:45] !emotespells on
[5/6/2022 14:47:31] !emotespells on
[5/6/2022 14:51:33] !emotespells on
[5/6/2022 14:55:37] !emotespells on
[5/6/2022 14:59:28] !emotespells on
[5/6/2022 15:4:15] !emotespells on
[5/6/2022 15:8:4] !emotespells on
[5/6/2022 15:11:53] !emotespells on
[5/6/2022 15:15:48] !emotespells on
[5/6/2022 15:19:34] !emotespells on
[5/6/2022 15:23:27] !emotespells on
[5/6/2022 15:27:4] !emotespells on
[5/6/2022 15:30:52] !emotespells on
[5/6/2022 15:34:47] !emotespells on
[5/6/2022 15:39:45] !emotespells on
[5/6/2022 15:43:5] !emotespells on
[5/6/2022 15:46:53] !emotespells on
[5/6/2022 15:49:19] !emotespells on
[5/6/2022 15:53:57] !emotespells on
[5/6/2022 15:57:45] !emotespells on
[5/6/2022 16:1:31] !emotespells on
[5/6/2022 16:6:53] !aol
[5/6/2022 17:28:16] !aol
