[1/6/2022 12:12:19] 
[1/6/2022 12:24:41] !aol
[1/6/2022 12:37:11] 
[1/6/2022 13:0:50] !aol
[1/6/2022 17:1:8] 
[1/6/2022 17:2:33] 
[2/6/2022 2:17:0] 
[2/6/2022 16:48:20] 
[2/6/2022 23:52:21] !aol
[2/6/2022 23:58:1] !emotespells on
[3/6/2022 0:2:20] !emotespells on
[3/6/2022 0:6:31] !emotespells on
[3/6/2022 0:12:12] !emotespells on
[3/6/2022 0:18:46] !emotespells on
[3/6/2022 0:23:35] !emotespells on
[3/6/2022 0:30:25] !emotespells on
[3/6/2022 0:35:19] !emotespells on
[3/6/2022 0:38:43] !aol
[3/6/2022 0:39:5] !emotespells on
[3/6/2022 0:43:43] !emotespells on
[3/6/2022 0:46:54] !emotespells on
[3/6/2022 0:50:34] !emotespells on
[3/6/2022 0:54:9] !emotespells on
[3/6/2022 0:58:41] !emotespells on
[3/6/2022 1:5:12] !emotespells on
[3/6/2022 1:9:21] !emotespells on
[3/6/2022 1:15:48] !emotespells on
[3/6/2022 1:19:23] !emotespells on
[3/6/2022 1:21:4] !emotespells on
[3/6/2022 1:23:31] !emotespells on
[3/6/2022 1:27:25] !emotespells on
[3/6/2022 1:31:25] !emotespells on
[3/6/2022 1:34:48] !emotespells on
[3/6/2022 1:38:34] !emotespells on
[3/6/2022 1:39:4] !emotespells on
[3/6/2022 1:42:15] !emotespells on
[3/6/2022 1:45:46] !emotespells on
[3/6/2022 1:48:57] !emotespells on
[3/6/2022 1:52:37] !emotespells on
[3/6/2022 1:56:1] !emotespells on
[3/6/2022 2:1:7] !emotespells on
[3/6/2022 2:6:24] !emotespells on
[3/6/2022 2:9:14] !emotespells on
[3/6/2022 2:14:1] !emotespells on
[3/6/2022 2:21:6] !emotespells on
[3/6/2022 2:23:20] !emotespells on
[3/6/2022 2:25:22] !emotespells on
[3/6/2022 2:28:46] !emotespells on
[3/6/2022 2:32:44] !emotespells on
[3/6/2022 2:38:2] !emotespells on
[3/6/2022 2:44:4] !emotespells on
[3/6/2022 2:51:21] !emotespells on
[3/6/2022 2:59:12] !emotespells on
[3/6/2022 3:3:16] !emotespells on
[3/6/2022 3:7:19] !emotespells on
[3/6/2022 3:11:15] !emotespells on
[3/6/2022 3:16:0] !emotespells on
[3/6/2022 3:20:18] !emotespells on
[3/6/2022 3:25:28] !emotespells on
[3/6/2022 3:32:47] !emotespells on
[3/6/2022 3:36:41] !emotespells on
[3/6/2022 3:38:25] !emotespells on
[3/6/2022 3:40:24] !emotespells on
[3/6/2022 3:44:27] !emotespells on
[3/6/2022 3:48:39] !emotespells on
[3/6/2022 3:53:36] !emotespells on
[3/6/2022 3:57:12] !emotespells on
[3/6/2022 3:58:44] !emotespells on
[3/6/2022 4:1:18] !emotespells on
[3/6/2022 4:6:2] !emotespells on
[3/6/2022 4:9:46] !emotespells on
[3/6/2022 4:14:8] !emotespells on
[3/6/2022 4:17:59] !emotespells on
[3/6/2022 4:21:52] !emotespells on
[3/6/2022 4:25:34] !emotespells on
[3/6/2022 4:26:5] !emotespells on
[3/6/2022 4:34:7] !emotespells on
[3/6/2022 4:38:58] !emotespells on
[3/6/2022 4:42:12] !emotespells on
[3/6/2022 4:47:6] !emotespells on
[3/6/2022 4:51:59] !emotespells on
[3/6/2022 4:56:18] !emotespells on
[3/6/2022 5:15:0] !emotespells on
[3/6/2022 5:43:0] !emotespells on
[3/6/2022 5:43:3] !aol
[3/6/2022 6:11:24] !aol
[3/6/2022 6:11:31] !emotespells on
[3/6/2022 6:28:7] !emotespells on
[3/6/2022 6:50:30] !emotespells on
[3/6/2022 6:56:16] !emotespells on
[3/6/2022 7:1:22] !emotespells on
[3/6/2022 7:6:5] !emotespells on
[3/6/2022 7:11:3] !emotespells on
[3/6/2022 8:4:24] !aol
[3/6/2022 8:4:27] !emotespells on
[3/6/2022 8:9:37] !emotespells on
[3/6/2022 8:13:14] !emotespells on
[3/6/2022 8:17:27] !emotespells on
[3/6/2022 8:21:52] !emotespells on
[3/6/2022 8:25:56] !emotespells on
[3/6/2022 8:30:16] !emotespells on
[3/6/2022 8:35:18] !emotespells on
[3/6/2022 8:38:52] !emotespells on
[3/6/2022 8:44:23] !emotespells on
[3/6/2022 8:49:19] !emotespells on
[3/6/2022 8:54:31] !emotespells on
[3/6/2022 9:2:58] !emotespells on
[3/6/2022 9:8:30] !emotespells on
[3/6/2022 9:16:50] !emotespells on
[3/6/2022 9:22:42] !emotespells on
[3/6/2022 9:24:16] !emotespells on
[3/6/2022 9:26:41] !emotespells on
[3/6/2022 14:26:39] !aol
[3/6/2022 16:26:40] !emotespells on
[3/6/2022 16:33:29] !emotespells on
[3/6/2022 16:35:53] !aol
[3/6/2022 16:36:6] !emotespells on
[3/6/2022 16:40:11] !emotespells on
[3/6/2022 16:44:24] !emotespells on
[3/6/2022 16:44:54] !rank axe
[3/6/2022 16:48:27] !emotespells on
[3/6/2022 16:52:46] !emotespells on
[3/6/2022 16:57:19] !emotespells on
[3/6/2022 17:2:10] !emotespells on
[3/6/2022 17:8:4] !emotespells on
[3/6/2022 17:12:28] !emotespells on
[3/6/2022 17:15:57] !emotespells on
[3/6/2022 17:19:38] !emotespells on
[3/6/2022 17:23:30] !emotespells on
[3/6/2022 17:27:34] !emotespells on
[3/6/2022 17:32:47] !emotespells on
[3/6/2022 17:38:6] !emotespells on
[3/6/2022 17:41:22] !emotespells on
[3/6/2022 17:45:13] !emotespells on
[3/6/2022 17:48:55] !emotespells on
[3/6/2022 17:52:55] !emotespells on
[3/6/2022 17:56:45] !emotespells on
[3/6/2022 18:0:24] !emotespells on
[3/6/2022 18:4:5] !emotespells on
[3/6/2022 18:8:17] !emotespells on
[3/6/2022 18:22:14] !aol
[3/6/2022 18:24:16] !aol
[4/6/2022 0:35:20] aleta sio
[4/6/2022 0:35:37] aleta som
[4/6/2022 1:4:40] !aol
[8/6/2022 19:3:4] !aol
