[10/12/2021 20:34:16] !emotespells on
[10/12/2021 21:5:50] !buyhouse
[10/12/2021 23:16:24] !wand ice
[11/12/2021 0:19:41] !wand ice
[11/12/2021 0:32:27] !wand ice
[11/12/2021 1:22:16] !wand ice
[11/12/2021 3:19:29] !wand ice
[11/12/2021 3:22:51] !wand ice
[11/12/2021 5:10:7] !wand ice
[11/12/2021 13:38:20] !wand ice
[11/12/2021 14:40:32] !wand ice
[11/12/2021 16:23:42] !frags
[11/12/2021 16:49:26] !wand ice
[11/12/2021 16:56:46] !wand ice
[11/12/2021 17:7:17] !wand ice
[11/12/2021 17:9:15] !wand holy
[11/12/2021 17:12:56] !wand ice
[11/12/2021 17:16:56] !wand ice
[11/12/2021 17:31:49] !frags
[12/12/2021 15:45:29] !wand ice
[12/12/2021 18:11:44] !frags
[12/12/2021 18:46:28] !wand holy
[12/12/2021 18:52:42] !wand ice
[12/12/2021 21:57:41] !wand death
[12/12/2021 22:30:42] !wand holy
[12/12/2021 23:27:45] !wand ice
[13/12/2021 0:43:26] !wand holy
[13/12/2021 1:8:4] !wand ice
[13/12/2021 14:18:23] !wand ice
[13/12/2021 14:56:18] !wand holy
[13/12/2021 15:0:11] !wand ice
[13/12/2021 15:13:59] !wand holy
[13/12/2021 15:17:18] !wand ice
[13/12/2021 15:29:17] !wand holy
[13/12/2021 15:37:2] !wand ice
[13/12/2021 16:18:10] !wand holy
[13/12/2021 16:19:18] !wand ice
[13/12/2021 16:20:6] !wand holy
[13/12/2021 16:31:0] !wand ice
[13/12/2021 16:45:44] !wand ice
[14/12/2021 12:42:14] !wand ice
