[1/6/2022 0:52:29] !aol
[1/6/2022 2:43:19] !aol
[1/6/2022 2:50:42] !aol
[1/6/2022 2:55:58] !aol
[1/6/2022 3:46:44] !guildpoints
[1/6/2022 3:46:59] !guildpoints
[1/6/2022 3:55:33] !aol
[1/6/2022 6:46:58] 
[1/6/2022 7:7:58] 
[1/6/2022 7:54:2] 
[1/6/2022 8:42:6] 
[1/6/2022 9:33:30] 
[1/6/2022 10:43:44] 
[1/6/2022 11:24:21] 
[1/6/2022 12:7:16] 
[1/6/2022 12:51:36] 
[1/6/2022 13:57:57] 
[1/6/2022 14:43:29] 
[1/6/2022 15:23:50] 
[1/6/2022 16:48:30] 
[1/6/2022 17:36:21] 
[1/6/2022 18:16:30] 
[1/6/2022 18:50:48] 
[1/6/2022 19:49:12] 
[1/6/2022 20:28:42] 
[2/6/2022 2:26:29] 
[2/6/2022 3:7:51] 
[2/6/2022 3:48:37] 
[2/6/2022 4:29:43] 
[2/6/2022 5:21:46] 
[2/6/2022 5:58:57] 
[2/6/2022 6:33:52] 
[2/6/2022 7:12:39] 
[2/6/2022 7:49:30] 
[2/6/2022 11:3:53] 
[2/6/2022 11:43:42] 
[2/6/2022 11:48:12] 
[2/6/2022 21:25:55] !aol
[3/6/2022 6:23:55] 
[3/6/2022 6:28:24] 
[3/6/2022 6:32:53] 
[3/6/2022 6:37:22] 
[3/6/2022 6:41:51] 
[3/6/2022 6:46:19] 
[3/6/2022 6:50:48] 
[3/6/2022 6:55:17] 
[3/6/2022 6:59:46] 
[3/6/2022 7:4:15] 
[3/6/2022 7:8:44] 
[3/6/2022 7:13:13] 
[3/6/2022 7:17:42] 
[3/6/2022 7:22:11] 
[3/6/2022 7:26:40] 
[3/6/2022 7:31:9] 
[3/6/2022 7:35:38] 
[3/6/2022 7:40:6] 
[3/6/2022 7:44:35] 
[3/6/2022 7:49:4] 
[3/6/2022 7:53:33] 
[3/6/2022 7:58:2] 
[3/6/2022 8:2:31] 
[3/6/2022 8:7:0] 
[3/6/2022 8:11:29] 
[3/6/2022 8:15:58] 
[3/6/2022 8:20:27] 
[3/6/2022 8:24:56] 
[3/6/2022 8:29:25] 
[3/6/2022 8:33:54] 
[3/6/2022 8:38:23] 
[3/6/2022 8:42:52] 
[3/6/2022 8:47:21] 
[3/6/2022 8:51:49] 
[3/6/2022 8:56:18] 
[3/6/2022 9:0:47] 
[3/6/2022 9:5:16] 
[3/6/2022 9:9:46] 
[3/6/2022 9:14:16] 
[3/6/2022 9:18:46] 
[3/6/2022 9:23:16] 
[3/6/2022 9:27:45] 
[3/6/2022 9:32:15] 
[3/6/2022 9:36:45] 
[3/6/2022 9:41:15] 
[3/6/2022 9:49:17] 
[3/6/2022 10:34:44] 
[3/6/2022 11:18:17] 
[3/6/2022 12:0:25] 
[3/6/2022 12:52:14] 
[3/6/2022 13:37:47] 
[3/6/2022 14:24:19] 
[3/6/2022 15:8:29] 
[3/6/2022 15:53:12] 
[3/6/2022 16:37:17] 
[3/6/2022 17:27:32] 
[3/6/2022 17:32:0] 
[3/6/2022 17:36:28] 
[3/6/2022 17:40:58] 
[3/6/2022 17:45:26] 
[3/6/2022 17:49:56] 
[3/6/2022 17:54:25] 
[3/6/2022 17:58:54] 
[3/6/2022 18:3:24] 
[3/6/2022 19:12:1] 
[3/6/2022 20:2:16] 
[3/6/2022 20:50:56] 
[4/6/2022 22:25:56] 
[4/6/2022 22:33:51] 
[5/6/2022 0:0:37] 
[5/6/2022 1:22:0] 
[5/6/2022 3:22:16] 
[5/6/2022 5:3:21] 
[5/6/2022 5:45:48] 
[5/6/2022 19:13:24] 
[5/6/2022 19:50:3] 
