[28/5/2022 3:51:48] !emotespells
[28/5/2022 3:52:28] !emotespells
[28/5/2022 3:52:41] !emotespells on
[28/5/2022 15:10:10] !emotespells on
[28/5/2022 15:14:48] !emotespells on
[28/5/2022 15:26:44] !emotespells on
[28/5/2022 15:32:17] !emotespells on
[28/5/2022 15:37:34] !emotespells on
[28/5/2022 15:43:7] !emotespells on
[28/5/2022 15:50:16] !emotespells on
[28/5/2022 15:58:53] !emotespells on
[28/5/2022 16:3:56] !emotespells on
[28/5/2022 16:7:45] !emotespells on
[28/5/2022 16:12:3] !emotespells on
[28/5/2022 16:16:30] !emotespells on
[28/5/2022 16:21:51] !emotespells on
[28/5/2022 16:35:20] !emotespells on
[28/5/2022 16:41:46] !emotespells on
[28/5/2022 16:49:27] !emotespells on
[28/5/2022 16:53:44] !emotespells on
[28/5/2022 16:58:6] !emotespells on
[28/5/2022 17:2:15] !emotespells on
[28/5/2022 17:7:33] !emotespells on
[28/5/2022 17:12:7] !emotespells on
[28/5/2022 17:18:24] !emotespells on
[28/5/2022 17:26:4] !emotespells on
[28/5/2022 17:30:22] !emotespells on
[28/5/2022 17:34:45] !emotespells on
[28/5/2022 17:38:51] !emotespells on
[28/5/2022 17:43:5] !emotespells on
[28/5/2022 17:47:6] !emotespells on
[28/5/2022 17:50:58] !emotespells on
[28/5/2022 17:57:13] !emotespells on
[28/5/2022 18:4:58] !emotespells on
[28/5/2022 18:9:14] !emotespells on
[28/5/2022 18:16:27] !emotespells on
[28/5/2022 18:19:40] !emotespells on
[28/5/2022 18:23:36] !emotespells on
[28/5/2022 18:28:22] !emotespells on
[28/5/2022 18:41:43] !emotespells on
[28/5/2022 18:45:57] !emotespells on
[28/5/2022 18:49:53] !emotespells on
[28/5/2022 18:53:48] !emotespells on
[28/5/2022 18:57:50] !emotespells on
[28/5/2022 19:5:55] !emotespells on
[28/5/2022 19:9:46] !emotespells on
[28/5/2022 19:13:38] !emotespells on
[28/5/2022 19:17:32] !emotespells on
[28/5/2022 19:21:25] !emotespells on
[28/5/2022 19:25:31] !emotespells on
[28/5/2022 19:31:39] !emotespells on
[28/5/2022 19:38:31] !emotespells on
[28/5/2022 19:42:29] !emotespells on
[28/5/2022 19:47:13] !emotespells on
[28/5/2022 19:51:16] !emotespells on
[28/5/2022 19:54:26] !emotespells on
[28/5/2022 19:58:22] !emotespells on
[28/5/2022 20:2:24] !emotespells on
