[11/12/2021 0:11:26] !online
[11/12/2021 0:17:1] !online
[11/12/2021 0:17:18] !online
[11/12/2021 0:18:4] !online
[11/12/2021 0:18:6] !online
[11/12/2021 0:18:17] !wand ice
[11/12/2021 0:18:48] !wand ice
[11/12/2021 0:18:58] !wand ice
[11/12/2021 0:19:0] !wand ice
[11/12/2021 0:19:2] !wand ice
[11/12/2021 0:19:4] !wand ice
[11/12/2021 2:5:43] !wand ice
[11/12/2021 2:12:50] !wand holy
[12/12/2021 23:36:53] !wand fire
[12/12/2021 23:37:9] !wand vis
[12/12/2021 23:37:25] !wand tera
[12/12/2021 23:37:38] !wand holy
[23/12/2021 5:7:17] !emotespells on
