[18/12/2021 21:19:44] !aol
[18/12/2021 21:28:42] !emotespells on
[18/12/2021 21:49:57] !emotespells on
[18/12/2021 21:54:3] !emotespells on
[18/12/2021 21:54:59] !emotespells on
[18/12/2021 21:55:57] !emotespells on
[18/12/2021 21:57:2] !emotespells on
[18/12/2021 21:57:58] !emotespells on
[18/12/2021 21:59:15] !emotespells on
[18/12/2021 22:0:12] !emotespells on
[18/12/2021 22:1:7] !emotespells on
[18/12/2021 22:2:4] !emotespells on
[18/12/2021 22:3:0] !emotespells on
[18/12/2021 22:3:56] !emotespells on
[18/12/2021 22:4:52] !emotespells on
[18/12/2021 22:5:48] !emotespells on
[18/12/2021 22:6:44] !emotespells on
[18/12/2021 22:7:40] !emotespells on
[18/12/2021 22:8:36] !emotespells on
[18/12/2021 22:9:32] !emotespells on
[18/12/2021 22:10:28] !emotespells on
[18/12/2021 22:11:24] !emotespells on
[18/12/2021 22:12:20] !emotespells on
[18/12/2021 22:13:16] !emotespells on
[18/12/2021 22:14:12] !emotespells on
[18/12/2021 22:15:8] !emotespells on
[18/12/2021 22:16:4] !emotespells on
[18/12/2021 22:17:0] !emotespells on
[18/12/2021 22:17:56] !emotespells on
[18/12/2021 22:18:52] !emotespells on
[18/12/2021 22:19:48] !emotespells on
[18/12/2021 22:20:44] !emotespells on
[18/12/2021 22:21:40] !emotespells on
[18/12/2021 22:22:36] !emotespells on
[18/12/2021 22:23:32] !emotespells on
[18/12/2021 22:24:28] !emotespells on
[18/12/2021 22:25:24] !emotespells on
[18/12/2021 22:26:20] !emotespells on
[18/12/2021 22:27:16] !emotespells on
[18/12/2021 22:28:12] !emotespells on
[18/12/2021 22:29:8] !emotespells on
[18/12/2021 22:30:4] !emotespells on
[18/12/2021 22:31:0] !emotespells on
[18/12/2021 22:31:56] !emotespells on
[18/12/2021 22:33:31] !emotespells on
[18/12/2021 22:34:15] !emotespells on
[18/12/2021 22:35:11] !emotespells on
[18/12/2021 22:36:7] !emotespells on
[18/12/2021 22:37:3] !emotespells on
[18/12/2021 22:37:59] !emotespells on
[18/12/2021 22:38:55] !emotespells on
[18/12/2021 22:39:51] !emotespells on
[18/12/2021 22:40:47] !emotespells on
[18/12/2021 22:41:43] !emotespells on
[18/12/2021 22:42:39] !emotespells on
[18/12/2021 22:43:35] !emotespells on
[18/12/2021 22:44:31] !emotespells on
[18/12/2021 22:45:28] !emotespells on
