[3/6/2022 15:22:34] !aol
[3/6/2022 15:29:53] !aol
[3/6/2022 16:12:22] !aol
[4/6/2022 10:57:27] !guildpoints
[4/6/2022 11:0:21] !guildpoints
[4/6/2022 13:7:44] !aol
[4/6/2022 13:59:25] !aol
[4/6/2022 14:52:6] !aol
[4/6/2022 15:16:52] !aol
[4/6/2022 16:45:54] !serverinfo
[5/6/2022 9:53:39] !emotespells on
[5/6/2022 10:0:21] !emotespells on
[5/6/2022 10:3:29] !emotespells on
[5/6/2022 10:6:19] !emotespells on
[5/6/2022 10:9:26] !emotespells on
[5/6/2022 10:13:4] !emotespells on
[5/6/2022 10:16:53] !emotespells on
[5/6/2022 10:19:40] !emotespells on
[5/6/2022 10:22:49] !emotespells on
[5/6/2022 10:26:11] !emotespells on
[5/6/2022 10:29:36] !emotespells on
[5/6/2022 10:32:48] !emotespells on
[5/6/2022 10:35:59] !emotespells on
[5/6/2022 10:39:48] !emotespells on
[5/6/2022 10:42:33] !emotespells on
[5/6/2022 10:46:2] !emotespells on
[5/6/2022 10:49:35] !emotespells on
[5/6/2022 10:53:7] !emotespells on
[5/6/2022 10:56:41] !emotespells on
[5/6/2022 11:0:12] !emotespells on
[5/6/2022 11:3:33] !emotespells on
[5/6/2022 11:7:4] !emotespells on
[5/6/2022 11:10:59] !emotespells on
[5/6/2022 11:14:24] !emotespells on
[5/6/2022 11:17:54] !emotespells on
[5/6/2022 11:21:36] !emotespells on
[5/6/2022 11:25:26] !emotespells on
[5/6/2022 11:29:46] !emotespells on
[5/6/2022 11:33:33] !emotespells on
[5/6/2022 11:34:11] !emotespells on
[5/6/2022 11:37:2] !emotespells on
[5/6/2022 11:40:35] !emotespells on
[5/6/2022 11:43:2] !emotespells on
[5/6/2022 11:47:10] !emotespells on
[5/6/2022 11:50:52] !emotespells on
[5/6/2022 11:54:27] !emotespells on
[5/6/2022 11:57:56] !emotespells on
[5/6/2022 12:1:39] !emotespells on
[5/6/2022 12:5:22] !emotespells on
[5/6/2022 12:9:15] !emotespells on
[5/6/2022 12:13:5] !emotespells on
[5/6/2022 12:17:17] !emotespells on
[5/6/2022 12:20:55] !emotespells on
[5/6/2022 12:24:7] !emotespells on
[5/6/2022 12:27:29] !emotespells on
[5/6/2022 12:31:23] !emotespells on
[5/6/2022 12:35:15] !emotespells on
[5/6/2022 12:39:2] !emotespells on
[5/6/2022 12:42:40] !emotespells on
[5/6/2022 12:46:24] !emotespells on
[5/6/2022 12:48:38] !emotespells on
[5/6/2022 12:53:28] !emotespells on
[5/6/2022 12:56:24] !emotespells on
[5/6/2022 12:59:9] !emotespells on
[5/6/2022 13:2:21] !emotespells on
[5/6/2022 13:4:53] !emotespells on
[5/6/2022 13:9:8] !emotespells on
[5/6/2022 13:11:47] !emotespells on
[5/6/2022 13:15:33] !emotespells on
[5/6/2022 13:19:12] !emotespells on
[5/6/2022 13:22:32] !emotespells on
[5/6/2022 13:26:6] !emotespells on
[5/6/2022 13:29:38] !emotespells on
[5/6/2022 13:33:13] !emotespells on
[5/6/2022 13:36:21] !emotespells on
[5/6/2022 13:38:59] !emotespells on
[5/6/2022 13:42:40] !emotespells on
[5/6/2022 13:47:3] !emotespells on
[5/6/2022 13:50:49] !emotespells on
[5/6/2022 13:54:42] !emotespells on
[5/6/2022 13:58:23] !emotespells on
[5/6/2022 14:2:23] !emotespells on
[5/6/2022 14:6:2] !emotespells on
[5/6/2022 14:9:30] !emotespells on
[5/6/2022 14:12:59] !emotespells on
[5/6/2022 14:16:53] !emotespells on
[5/6/2022 14:20:37] !emotespells on
[5/6/2022 14:25:34] !emotespells on
[5/6/2022 14:29:15] !emotespells on
[5/6/2022 14:33:2] !emotespells on
[5/6/2022 14:36:51] !emotespells on
[5/6/2022 14:40:13] !emotespells on
[5/6/2022 14:43:30] !emotespells on
[5/6/2022 14:47:30] !emotespells on
[5/6/2022 14:51:32] !emotespells on
[5/6/2022 14:55:39] !emotespells on
[5/6/2022 14:59:26] !emotespells on
[5/6/2022 15:4:15] !emotespells on
[5/6/2022 15:8:3] !emotespells on
[5/6/2022 15:11:52] !emotespells on
[5/6/2022 15:15:46] !emotespells on
[5/6/2022 15:19:37] !emotespells on
[5/6/2022 15:23:26] !emotespells on
[5/6/2022 15:27:4] !emotespells on
[5/6/2022 15:30:51] !emotespells on
[5/6/2022 15:34:47] !emotespells on
[5/6/2022 15:39:43] !emotespells on
[5/6/2022 15:43:4] !emotespells on
[5/6/2022 15:46:53] !emotespells on
[5/6/2022 15:50:41] !emotespells on
[5/6/2022 15:53:56] !emotespells on
[5/6/2022 15:57:23] !emotespells on
[5/6/2022 16:1:33] !emotespells on
[5/6/2022 16:5:24] !emotespells on
[5/6/2022 16:9:37] !emotespells on
[5/6/2022 16:16:27] !emotespells on
[5/6/2022 16:23:2] !emotespells on
[5/6/2022 16:28:17] !emotespells on
