[14/2/2022 19:15:30] !emotespells on
[14/2/2022 23:5:8] !frags
[15/2/2022 0:39:6] 
[15/2/2022 0:59:6] 
[15/2/2022 1:54:21] 
[15/2/2022 2:22:47] 
[15/2/2022 2:57:46] 
[15/2/2022 3:58:2] 
[15/2/2022 4:26:10] 
[15/2/2022 4:54:41] 
[15/2/2022 5:24:5] 
[15/2/2022 6:28:49] 
[15/2/2022 6:58:38] 
[15/2/2022 8:4:34] 
[15/2/2022 8:36:8] 
[15/2/2022 9:9:4] 
[15/2/2022 9:12:27] 
[15/2/2022 9:41:1] 
[15/2/2022 11:20:9] 
[15/2/2022 11:52:56] 
[15/2/2022 13:39:38] 
[15/2/2022 14:12:59] 
[15/2/2022 14:55:53] 
[15/2/2022 15:28:11] 
[15/2/2022 16:4:1] 
[15/2/2022 17:10:56] 
[15/2/2022 17:43:43] 
[15/2/2022 18:18:19] 
[15/2/2022 18:34:2] 
[15/2/2022 18:42:50] 
[15/2/2022 18:52:41] 
[15/2/2022 19:13:44] 
[15/2/2022 19:23:28] 
[15/2/2022 19:34:41] 
[15/2/2022 20:9:4] 
[15/2/2022 20:20:13] 
[15/2/2022 20:28:48] 
[15/2/2022 21:2:36] 
[15/2/2022 21:12:56] 
[15/2/2022 21:39:12] 
[15/2/2022 22:41:30] 
[15/2/2022 23:4:45] 
