[10/2/2022 21:2:44] !aol
[10/2/2022 21:55:33]  perdi meu amuleto no rollback
[10/2/2022 22:9:45] !aol
[10/2/2022 22:14:28] !aol
[10/2/2022 22:16:9] !aol
[10/2/2022 22:17:0] !aol
[10/2/2022 22:52:9] !aol
[11/2/2022 10:52:6]  comprei negocio de vender lootsozin mas nao chega o dinheiro
[11/2/2022 11:55:33] !serverinfo
[12/2/2022 17:18:31] !frags
[12/2/2022 21:15:44] !frags
[12/2/2022 21:24:14] !frags
[12/2/2022 21:32:46] !frags
[13/2/2022 23:13:29] !frags
[14/2/2022 15:34:36] !frags
[14/2/2022 18:3:21] !frags
[14/2/2022 21:58:58] !frags
[14/2/2022 22:11:5]  vamos colocar o cliente pra funcionar com exit lag
[14/2/2022 23:37:27] !frags
[15/2/2022 15:22:31] 
[15/2/2022 15:22:34] 
[15/2/2022 15:22:36] 
[15/2/2022 15:22:41] 
[15/2/2022 15:22:45] 
[15/2/2022 15:22:47] 
[15/2/2022 15:22:49] 
[15/2/2022 15:22:51] 
[15/2/2022 15:22:53] 
[15/2/2022 15:23:0] 
[15/2/2022 15:23:3] 
[15/2/2022 15:23:6] 
[15/2/2022 15:23:9] 
[15/2/2022 15:23:13] 
[15/2/2022 15:23:18] 
[15/2/2022 15:23:20] 
[15/2/2022 15:23:22] 
[15/2/2022 15:23:24] 
[15/2/2022 15:23:44] 
[15/2/2022 15:23:50] 
[15/2/2022 15:23:52] 
[15/2/2022 15:23:54] 
[15/2/2022 15:23:56] 
[15/2/2022 15:23:58] 
[15/2/2022 15:24:2] 
[15/2/2022 15:24:5] 
[15/2/2022 15:24:7] 
[15/2/2022 15:24:9] 
[15/2/2022 15:24:11] 
[15/2/2022 15:24:13] 
[15/2/2022 15:24:15] 
[15/2/2022 15:24:19] 
[15/2/2022 15:24:22] 
[15/2/2022 15:24:24] 
[15/2/2022 15:24:26] 
[15/2/2022 15:24:29] 
[15/2/2022 15:24:31] 
[15/2/2022 15:24:33] 
[15/2/2022 15:24:35] 
[15/2/2022 15:24:52] 
[15/2/2022 15:24:54] 
[15/2/2022 15:24:56] 
[15/2/2022 15:24:58] 
[15/2/2022 15:25:1] 
[15/2/2022 15:25:3] 
[15/2/2022 15:25:5] 
[15/2/2022 15:25:7] 
[15/2/2022 15:25:12] 
[15/2/2022 15:25:15] 
[15/2/2022 15:25:17] 
[15/2/2022 15:25:19] 
[15/2/2022 15:25:25] 
[15/2/2022 15:25:28] 
[15/2/2022 15:25:30] 
[15/2/2022 15:25:32] 
[15/2/2022 15:25:34] 
[15/2/2022 15:25:36] 
[15/2/2022 15:25:39] 
[15/2/2022 15:25:41] 
[15/2/2022 15:25:49] 
[15/2/2022 15:25:53] 
[15/2/2022 15:25:55] 
[15/2/2022 15:25:57] 
[15/2/2022 15:26:3] 
[15/2/2022 15:26:5] 
[15/2/2022 15:26:7] 
[15/2/2022 15:26:10] 
[15/2/2022 15:26:19] 
[15/2/2022 15:26:23] 
[15/2/2022 15:26:28] 
[15/2/2022 15:26:30] 
[15/2/2022 15:26:32] 
[15/2/2022 15:26:34] 
[15/2/2022 15:26:36] 
[15/2/2022 15:26:38] 
[15/2/2022 15:26:44] 
[15/2/2022 15:26:46] 
[15/2/2022 15:26:49] 
[15/2/2022 15:26:51] 
[15/2/2022 15:27:8] 
[15/2/2022 15:27:10] 
[15/2/2022 15:27:12] 
[15/2/2022 15:27:14] 
[15/2/2022 15:27:20] 
[15/2/2022 15:27:22] 
[15/2/2022 15:27:24] 
[15/2/2022 15:27:26] 
[15/2/2022 15:27:28] 
[15/2/2022 15:27:33] 
[15/2/2022 15:27:35] 
[15/2/2022 15:27:37] 
[15/2/2022 15:27:39] 
[15/2/2022 15:27:49] 
[15/2/2022 15:27:51] 
[15/2/2022 15:27:54] 
[15/2/2022 15:27:56] 
[15/2/2022 15:28:9] 
[15/2/2022 15:28:12] 
[15/2/2022 15:28:14] 
[15/2/2022 15:28:16] 
[15/2/2022 15:28:18] 
[15/2/2022 15:28:20] 
[15/2/2022 15:28:22] 
[15/2/2022 15:28:29] 
[15/2/2022 15:28:31] 
[15/2/2022 15:28:33] 
[15/2/2022 15:28:35] 
[15/2/2022 15:28:38] 
[15/2/2022 15:28:44] 
[15/2/2022 15:28:49] 
[15/2/2022 15:28:51] 
[15/2/2022 15:28:53] 
[15/2/2022 15:28:55] 
[15/2/2022 15:28:57] 
[15/2/2022 15:28:59] 
[15/2/2022 15:29:3] 
[15/2/2022 15:29:5] 
[15/2/2022 15:29:7] 
[15/2/2022 15:29:9] 
[15/2/2022 15:29:13] 
[15/2/2022 15:29:26] 
[15/2/2022 15:29:35] 
[15/2/2022 15:29:37] 
[15/2/2022 15:29:40] 
[15/2/2022 15:29:42] 
[15/2/2022 15:29:49] 
[15/2/2022 15:29:51] 
[15/2/2022 15:29:53] 
[15/2/2022 15:29:55] 
[15/2/2022 15:29:57] 
[15/2/2022 15:30:0] 
[15/2/2022 15:30:14] 
[15/2/2022 15:30:16] 
[15/2/2022 15:30:18] 
[15/2/2022 15:30:20] 
[15/2/2022 15:30:27] 
[15/2/2022 15:30:29] 
[15/2/2022 15:30:31] 
[15/2/2022 15:30:43] 
[15/2/2022 15:30:47] 
[15/2/2022 15:30:49] 
[15/2/2022 15:30:51] 
[15/2/2022 15:30:53] 
[15/2/2022 15:30:55] 
[15/2/2022 15:30:58] 
[15/2/2022 15:31:0] 
[15/2/2022 15:31:2] 
[15/2/2022 15:31:12] 
[15/2/2022 15:31:18] 
[15/2/2022 15:31:20] 
[15/2/2022 15:31:22] 
[15/2/2022 15:31:24] 
[15/2/2022 15:31:26] 
[15/2/2022 15:31:28] 
[15/2/2022 15:31:30] 
[15/2/2022 15:31:32] 
[15/2/2022 15:31:35] 
[15/2/2022 15:31:40] 
[15/2/2022 15:31:42] 
[15/2/2022 15:31:44] 
[15/2/2022 15:31:46] 
[15/2/2022 15:31:50] 
[15/2/2022 15:31:52] 
[15/2/2022 15:31:56] 
[15/2/2022 15:31:59] 
[15/2/2022 15:32:1] 
[15/2/2022 15:32:3] 
[15/2/2022 15:32:13] 
[15/2/2022 15:32:15] 
[15/2/2022 15:32:17] 
[15/2/2022 15:32:19] 
[15/2/2022 15:32:21] 
[15/2/2022 15:32:23] 
[15/2/2022 15:32:25] 
[15/2/2022 15:32:43] 
[15/2/2022 15:32:47] 
[15/2/2022 15:32:49] 
[15/2/2022 15:32:51] 
[15/2/2022 15:32:53] 
[15/2/2022 15:33:1] 
[15/2/2022 15:33:3] 
[15/2/2022 15:33:5] 
