[10/12/2021 21:9:14] !emotespells on
[10/12/2021 21:37:43] !wand ice
[10/12/2021 21:37:49] !wand ice
[10/12/2021 22:35:58] !wand death
[11/12/2021 9:8:33] !wand death
[11/12/2021 9:54:18] !aol
[12/12/2021 0:20:57] !aol
[12/12/2021 8:44:46] !aol
[13/12/2021 6:23:35] !aol
[14/12/2021 21:19:38] !aol
[15/12/2021 20:7:29] !online
[15/12/2021 21:12:49] !online
[15/12/2021 21:12:51] !online
[16/12/2021 6:10:42] !aol
[16/12/2021 20:41:24] !aol
[17/12/2021 22:33:3] !aol
[18/12/2021 19:52:7] !aol
[18/12/2021 20:17:16] !wand death
[18/12/2021 20:24:28] !aol
[18/12/2021 22:47:25] !aol
[19/12/2021 0:2:20] !frags
[19/12/2021 9:52:24] !frags
[25/12/2021 22:17:16] !aol
[25/12/2021 22:31:2] !aol
[25/12/2021 23:4:22] !aol
[26/12/2021 3:27:33] !online
[26/12/2021 12:32:0] !aol
[26/12/2021 12:37:24] !aol
[26/12/2021 12:37:53] !aol
[26/12/2021 12:38:32] !aol
[26/12/2021 12:39:7] !aol
[26/12/2021 12:39:47] !aol
[26/12/2021 12:41:47] !aol
[26/12/2021 12:42:15] !aol
[26/12/2021 12:42:57] !aol
[26/12/2021 12:51:58] !aol
[26/12/2021 12:52:2] !aol
[26/12/2021 12:53:31] !online
[26/12/2021 12:56:24] !aol
[26/12/2021 12:58:48] !aol
[26/12/2021 13:23:32] !online
[11/1/2022 17:53:32] !online
