[10/12/2021 21:9:15] !emotespells on
[10/12/2021 21:37:48] !wand ice
[10/12/2021 22:35:59] !wand death
[11/12/2021 0:6:56] !wand death
[11/12/2021 9:8:32] !wand death
[11/12/2021 9:55:50] !aol
[12/12/2021 0:20:55] !aol
[12/12/2021 8:43:25] !aol
[13/12/2021 6:23:52] !aol
[15/12/2021 19:29:8] !rank magic
[15/12/2021 21:57:14] !aol
[15/12/2021 21:58:54] !aol
[16/12/2021 6:10:34] !aol
[16/12/2021 22:51:6] !aol
[17/12/2021 19:31:14] !online
[17/12/2021 22:33:14] !aol
[18/12/2021 9:42:42] !aol
[18/12/2021 20:10:16] !aol
[18/12/2021 20:17:18] !wand death
[18/12/2021 20:28:56] !aol
[18/12/2021 22:46:59] !aol
[19/12/2021 0:2:24] !frags
[19/12/2021 2:22:3] !frags
[19/12/2021 2:25:2] !frags
[19/12/2021 2:25:14] !frags
[19/12/2021 2:33:22] !frags
[19/12/2021 9:52:31] !frags
[19/12/2021 10:31:12] !aol
[19/12/2021 14:21:30] !emotespells off
[19/12/2021 14:21:48] !emotespells on
[25/12/2021 22:19:40] !aol
[26/12/2021 2:6:26] !online
[26/12/2021 12:31:21] !aol
[26/12/2021 12:34:27] !aol
[26/12/2021 12:34:45] !aol
[26/12/2021 12:35:45] !aol
[26/12/2021 12:37:3] !aol
[26/12/2021 12:37:41] !aol
[26/12/2021 12:38:14] !aol
[26/12/2021 12:38:47] !aol
[26/12/2021 12:39:14] !aol
[26/12/2021 12:39:40] !aol
[26/12/2021 12:41:8] !aol
[26/12/2021 12:41:41] !aol
[26/12/2021 12:42:9] !aol
[26/12/2021 12:42:53] !aol
[26/12/2021 12:49:52] !aol
[26/12/2021 12:52:15] !aol
