[10/12/2021 20:29:0] !rank distance
[10/12/2021 23:28:25] !rank distance
[11/12/2021 10:21:9] !rank distance
[11/12/2021 10:49:12] !rank distance
[11/12/2021 11:57:7] !aol
[11/12/2021 12:24:40] !aol
[11/12/2021 14:10:53] !rank distance
[11/12/2021 16:24:24] !frags
[11/12/2021 16:30:50] !frags
[11/12/2021 16:53:0] !buyhouse
[11/12/2021 17:5:28] !aol
[11/12/2021 17:38:26] !frags
[11/12/2021 19:22:24] !emotespells on
[11/12/2021 22:12:0] 
[11/12/2021 22:12:4] 
[11/12/2021 22:12:12] 
[11/12/2021 22:12:18] 
[11/12/2021 22:12:20] 
[11/12/2021 22:12:28] 
[11/12/2021 22:12:31] 
[11/12/2021 22:12:33] 
[11/12/2021 22:12:41] 
[11/12/2021 22:12:45] 
[11/12/2021 22:12:49] 
[11/12/2021 22:12:51] 
[11/12/2021 22:13:38] 
[11/12/2021 22:13:40] 
[11/12/2021 22:13:46] 
[11/12/2021 22:13:48] 
[11/12/2021 22:13:51] 
[11/12/2021 22:13:57] 
[11/12/2021 22:14:0] 
[11/12/2021 22:14:3] 
[11/12/2021 22:14:5] 
[11/12/2021 22:14:7] 
[11/12/2021 22:14:9] 
[11/12/2021 22:14:11] 
[11/12/2021 22:14:13] 
[11/12/2021 22:14:37] 
[11/12/2021 22:14:39] 
[11/12/2021 22:15:8] 
[11/12/2021 22:15:10] 
[11/12/2021 22:15:15] 
[11/12/2021 22:15:18] 
[11/12/2021 22:15:20] 
[11/12/2021 22:15:31] 
[11/12/2021 22:15:33] 
[11/12/2021 22:15:41] 
[11/12/2021 22:15:43] 
[11/12/2021 22:15:50] 
[11/12/2021 22:15:52] 
[11/12/2021 22:15:54] 
[11/12/2021 22:16:47] 
[11/12/2021 22:16:50] 
[11/12/2021 22:17:15] 
[11/12/2021 22:17:18] 
[11/12/2021 22:17:20] 
[11/12/2021 22:17:45] 
[11/12/2021 22:17:53] 
[11/12/2021 22:17:59] 
[11/12/2021 22:18:2] 
[11/12/2021 22:18:4] 
[11/12/2021 22:18:6] 
[11/12/2021 22:18:23] 
[11/12/2021 22:18:25] 
[11/12/2021 22:18:32] 
[11/12/2021 22:18:34] 
[11/12/2021 22:18:36] 
[11/12/2021 22:19:30] 
[11/12/2021 22:19:34] 
[11/12/2021 22:19:36] 
[11/12/2021 22:19:41] 
[11/12/2021 22:19:43] 
[11/12/2021 22:19:47] 
[11/12/2021 22:19:49] 
[11/12/2021 22:19:51] 
[11/12/2021 22:19:53] 
[11/12/2021 22:20:15] 
[11/12/2021 22:20:26] 
[11/12/2021 22:20:29] 
[11/12/2021 22:20:53] 
[11/12/2021 22:20:55] 
[11/12/2021 22:20:57] 
[11/12/2021 22:20:59] 
[11/12/2021 22:21:5] 
[11/12/2021 22:21:9] 
[11/12/2021 22:21:11] 
[11/12/2021 22:21:21] 
[11/12/2021 22:21:23] 
[11/12/2021 22:21:31] 
[11/12/2021 22:21:33] 
[11/12/2021 22:21:39] 
[11/12/2021 22:21:41] 
[11/12/2021 22:21:43] 
[11/12/2021 22:22:36] 
[11/12/2021 22:22:38] 
[11/12/2021 22:23:11] 
[11/12/2021 22:23:13] 
[11/12/2021 22:23:36] 
[11/12/2021 22:23:38] 
[11/12/2021 22:23:43] 
[11/12/2021 22:23:45] 
[11/12/2021 22:23:50] 
[11/12/2021 22:23:52] 
[11/12/2021 22:23:54] 
[11/12/2021 22:24:4] 
[11/12/2021 22:24:6] 
[11/12/2021 22:24:12] 
[11/12/2021 22:24:14] 
[11/12/2021 22:24:22] 
[11/12/2021 22:24:25] 
[11/12/2021 22:24:27] 
[11/12/2021 22:25:20] 
[11/12/2021 22:25:22] 
[11/12/2021 22:25:49] 
[11/12/2021 22:25:56] 
[11/12/2021 22:25:58] 
[11/12/2021 22:26:22] 
[11/12/2021 22:26:24] 
[11/12/2021 22:26:30] 
[11/12/2021 22:26:37] 
[11/12/2021 22:26:39] 
[11/12/2021 22:26:41] 
[11/12/2021 22:27:2] 
[11/12/2021 22:27:4] 
[11/12/2021 22:27:13] 
[11/12/2021 22:27:20] 
[11/12/2021 22:27:24] 
[11/12/2021 22:27:26] 
[11/12/2021 22:28:20] 
[11/12/2021 22:28:22] 
[11/12/2021 22:28:24] 
[11/12/2021 22:28:59] 
[11/12/2021 22:29:1] 
[11/12/2021 22:29:34] 
[11/12/2021 22:29:36] 
[11/12/2021 22:29:38] 
[11/12/2021 22:29:40] 
[11/12/2021 22:29:47] 
[11/12/2021 22:29:49] 
[11/12/2021 22:30:5] 
[11/12/2021 22:30:8] 
[11/12/2021 22:30:10] 
[11/12/2021 22:30:28] 
[11/12/2021 22:30:30] 
[11/12/2021 22:30:36] 
[11/12/2021 22:30:38] 
[11/12/2021 22:30:40] 
[11/12/2021 22:31:35] 
[11/12/2021 22:31:37] 
[11/12/2021 22:31:44] 
[11/12/2021 22:31:46] 
[11/12/2021 22:32:13] 
[11/12/2021 22:32:15] 
[11/12/2021 22:32:38] 
[11/12/2021 22:32:40] 
[11/12/2021 22:32:46] 
[11/12/2021 22:32:48] 
[11/12/2021 22:32:54] 
[11/12/2021 22:32:56] 
[11/12/2021 22:32:59] 
[11/12/2021 22:33:16] 
[11/12/2021 22:33:18] 
[11/12/2021 22:33:24] 
[11/12/2021 22:33:26] 
[11/12/2021 22:33:31] 
[11/12/2021 22:34:36] 
[11/12/2021 22:34:38] 
[11/12/2021 22:34:42] 
[11/12/2021 22:34:44] 
[11/12/2021 22:34:46] 
[11/12/2021 22:34:48] 
[11/12/2021 22:35:16] 
[11/12/2021 22:35:37] 
[11/12/2021 22:35:39] 
[11/12/2021 22:35:45] 
[11/12/2021 22:35:47] 
[11/12/2021 22:35:52] 
[11/12/2021 22:35:56] 
[11/12/2021 22:35:58] 
[11/12/2021 22:36:7] 
[11/12/2021 22:36:9] 
[11/12/2021 22:36:11] 
[11/12/2021 22:36:17] 
[11/12/2021 22:36:25] 
[11/12/2021 22:36:27] 
[11/12/2021 22:36:29] 
[11/12/2021 22:37:31] 
[11/12/2021 22:37:33] 
[11/12/2021 22:37:45] 
[11/12/2021 22:37:47] 
[11/12/2021 22:38:24] 
[11/12/2021 22:38:27] 
[11/12/2021 22:38:31] 
[11/12/2021 22:38:33] 
[11/12/2021 22:38:54] 
[11/12/2021 22:38:56] 
[11/12/2021 22:38:59] 
[11/12/2021 22:39:1] 
[11/12/2021 22:39:4] 
[11/12/2021 22:39:7] 
[11/12/2021 22:39:9] 
[11/12/2021 22:39:14] 
[11/12/2021 22:39:16] 
[11/12/2021 22:39:29] 
[11/12/2021 22:39:31] 
[11/12/2021 22:39:40] 
[11/12/2021 22:39:42] 
[11/12/2021 22:39:48] 
[11/12/2021 22:39:50] 
[11/12/2021 22:39:52] 
[11/12/2021 22:40:46] 
[11/12/2021 22:40:48] 
[11/12/2021 22:41:25] 
[11/12/2021 22:41:50] 
[11/12/2021 22:41:52] 
[11/12/2021 22:41:57] 
[11/12/2021 22:41:59] 
[11/12/2021 22:42:6] 
[11/12/2021 22:42:8] 
[11/12/2021 22:42:10] 
[11/12/2021 22:42:26] 
[11/12/2021 22:42:34] 
[11/12/2021 22:42:36] 
[11/12/2021 22:42:38] 
[11/12/2021 22:43:41] 
[11/12/2021 22:43:43] 
[11/12/2021 22:43:56] 
[11/12/2021 22:44:17] 
[11/12/2021 22:44:19] 
[11/12/2021 22:44:45] 
[11/12/2021 22:44:47] 
[11/12/2021 22:44:50] 
[11/12/2021 22:44:52] 
[11/12/2021 22:44:56] 
[11/12/2021 22:44:58] 
[11/12/2021 22:45:28] 
[11/12/2021 22:45:51] 
[11/12/2021 22:45:53] 
[11/12/2021 22:46:1] 
[11/12/2021 22:46:3] 
[11/12/2021 22:46:5] 
[11/12/2021 22:46:23] 
[11/12/2021 22:46:25] 
[11/12/2021 22:46:31] 
[11/12/2021 22:46:33] 
[11/12/2021 22:46:35] 
[11/12/2021 22:46:47] 
[11/12/2021 22:46:49] 
[11/12/2021 22:46:55] 
[11/12/2021 22:46:57] 
[11/12/2021 22:47:21] 
[11/12/2021 22:47:23] 
[11/12/2021 22:47:40] 
[11/12/2021 22:47:48] 
[11/12/2021 22:47:50] 
[11/12/2021 22:47:52] 
[11/12/2021 22:47:54] 
[11/12/2021 22:48:5] 
[11/12/2021 22:48:7] 
[11/12/2021 22:48:13] 
[11/12/2021 22:48:15] 
[11/12/2021 22:48:22] 
[11/12/2021 22:48:24] 
[11/12/2021 22:48:59] 
[11/12/2021 22:49:2] 
[11/12/2021 22:49:4] 
[11/12/2021 22:49:10] 
[11/12/2021 22:49:15] 
[11/12/2021 22:49:18] 
[11/12/2021 22:49:20] 
[11/12/2021 22:49:28] 
[11/12/2021 22:49:30] 
[11/12/2021 22:50:9] 
[11/12/2021 22:50:11] 
[11/12/2021 22:50:16] 
[11/12/2021 22:50:18] 
[11/12/2021 22:50:24] 
[11/12/2021 22:50:47] 
[11/12/2021 22:50:50] 
[11/12/2021 22:50:54] 
[11/12/2021 22:50:56] 
[11/12/2021 22:51:5] 
[11/12/2021 22:51:7] 
[11/12/2021 22:51:11] 
[11/12/2021 22:51:14] 
[11/12/2021 22:51:42] 
[11/12/2021 22:51:44] 
[11/12/2021 22:52:13] 
[11/12/2021 22:52:15] 
[11/12/2021 22:52:17] 
[11/12/2021 22:52:19] 
[11/12/2021 22:53:24] 
[11/12/2021 22:53:26] 
[11/12/2021 22:53:28] 
