[27/5/2022 22:49:53] !online
[27/5/2022 23:20:21] !rank club
[27/5/2022 23:20:34] !rank sword
[27/5/2022 23:20:41] !rank axe
[27/5/2022 23:20:53] !rank distance
[27/5/2022 23:21:13] !rank magic
[27/5/2022 23:21:44] !rank level
[28/5/2022 0:8:14] !rank club
[28/5/2022 0:8:45] !rank shield
[28/5/2022 2:52:6] !rank club
[28/5/2022 2:52:21] !rank sword
[28/5/2022 2:52:27] !rank axe
[28/5/2022 4:32:52] !rank club
[28/5/2022 4:39:56] !rank level
[28/5/2022 9:42:23] !rank club
[28/5/2022 11:56:0] !rank sword
[28/5/2022 11:56:9] !rank club
[28/5/2022 11:56:17] !rank axe
[28/5/2022 16:36:54] !rank club
[28/5/2022 16:37:4] !rank axe
[28/5/2022 16:37:10] !rank sword
[29/5/2022 0:28:24] !rank club
[29/5/2022 0:28:32] !rank sword
[29/5/2022 0:28:38] !rank axe
[29/5/2022 22:31:50] !serverinfo
[30/5/2022 19:13:6] !rank club
[30/5/2022 19:13:30] !rank axe
[30/5/2022 19:13:38] !rank sword]
[30/5/2022 19:13:43] !rank sword
[30/5/2022 19:13:59] !rank magic
[30/5/2022 19:20:37] !rank club
[30/5/2022 19:47:26] !serverinfo
[31/5/2022 20:10:11] !rank sword
[31/5/2022 20:10:32] !rank sword
[31/5/2022 20:10:56] !rank shield
[31/5/2022 22:20:36] !rank sword
[31/5/2022 22:21:1] !rank level
[31/5/2022 23:58:10] !rank sword
[31/5/2022 23:58:27] !rank axe
[31/5/2022 23:58:37] !rank club
[1/6/2022 0:1:55] !rank club
[1/6/2022 0:2:5] !rank distance
[1/6/2022 0:5:55] !rank shield
[1/6/2022 0:6:7] !rank sword
[1/6/2022 0:6:37] !rank club
[1/6/2022 0:15:22] !rank sword
[1/6/2022 0:15:41] !rank club
[1/6/2022 0:23:9] !rank sword
[1/6/2022 7:37:35] !rank sword
[1/6/2022 7:37:54] !rank club
[1/6/2022 7:38:7] !rank axe
[1/6/2022 7:38:14] !rank magic
[1/6/2022 7:38:36] !rank sword
[1/6/2022 7:38:50] !rank shield
[1/6/2022 7:39:56] !rank level
[1/6/2022 7:40:13] !online
[1/6/2022 18:45:24] !rank sword
[1/6/2022 18:45:49] !rank axe
[1/6/2022 18:46:0] !rank club
[1/6/2022 18:46:30] !rank level
[1/6/2022 18:58:55] !rank magic
[1/6/2022 18:59:59] !rank sword
[1/6/2022 19:0:24] !rank shield
[1/6/2022 19:47:34] !rank sword
[2/6/2022 0:49:45] !rank sword
[2/6/2022 0:49:54] !online
[2/6/2022 0:50:17] !rank club
[2/6/2022 1:28:37] !rank sword
[2/6/2022 7:9:23] !rank sword
[2/6/2022 7:9:50] !rank shield
[2/6/2022 18:49:24] !rank sqwor
[2/6/2022 18:49:33] !rank sword
[2/6/2022 18:49:50] !rank axe
[2/6/2022 18:49:56] !rank club
[2/6/2022 18:50:3] !rank sword
[2/6/2022 18:50:16] !rank shield
[2/6/2022 18:50:27] !rank distance
[2/6/2022 18:50:58] !rank sword
[2/6/2022 18:51:17] !rank level
[2/6/2022 22:22:50] !rank sword
[2/6/2022 22:23:25] !rank axe
[2/6/2022 22:23:38] !rank club
[2/6/2022 22:23:54] !rank level
[2/6/2022 23:23:35] !rank sword
[3/6/2022 7:51:31] !rank sword
[3/6/2022 18:42:47] !rank sword
[3/6/2022 20:8:37] !rank sword
[3/6/2022 20:8:56] !rank level
[3/6/2022 20:9:21] !rank sword
[3/6/2022 20:9:27] !rank axe
[3/6/2022 20:9:35] !rank club
[3/6/2022 20:10:15] !rank club
[3/6/2022 20:10:27] !rank sword
[4/6/2022 0:41:30] !rank sword
[4/6/2022 0:41:38] !rank club
[4/6/2022 0:42:43] !rank level
[4/6/2022 11:27:12] !rank sword
[4/6/2022 11:27:30] !rank club
[4/6/2022 11:27:36] !rank axe
[4/6/2022 12:54:3] !rank sword
[4/6/2022 12:54:24] !rank shield
[4/6/2022 13:13:56] !rank sword
[4/6/2022 13:15:59] !rank sword
[4/6/2022 13:16:12] !rank axe
[4/6/2022 13:16:23] !rank club
[4/6/2022 13:16:43] !rank magic
[4/6/2022 13:17:49] !rank sword
