[29/5/2022 9:11:28] !emotespells on
[29/5/2022 19:1:25] !aol
[29/5/2022 19:2:48] !aol
[29/5/2022 19:9:31] !aol
[29/5/2022 19:12:45] !aol
[29/5/2022 19:19:48] !guildpoints
[29/5/2022 19:21:14] !guildpoints
[29/5/2022 19:21:24] !guildpoints
[29/5/2022 19:22:33] !guildpoints
[29/5/2022 19:27:44] !guildpoints
[29/5/2022 19:28:51] !guildpoints
[29/5/2022 19:28:57] !guildpoints
[29/5/2022 19:29:8] !guildpoints
[29/5/2022 19:29:14] !guildpoints
[29/5/2022 19:30:8] !guildpoints
[29/5/2022 19:30:34] !guildpoints
[29/5/2022 19:32:15] !guildpoints
[29/5/2022 19:32:26] !guildpoints
