[13/2/2022 10:47:49] !emotespells on.
[13/2/2022 10:49:29] !emotespells on
[13/2/2022 11:41:8] !aol
[13/2/2022 11:50:19] !aol
[13/2/2022 12:0:47] !aol
[13/2/2022 12:2:16] !aol
[13/2/2022 12:8:7] !aol
[13/2/2022 12:9:6] !aol
[13/2/2022 12:44:23] !aol
[13/2/2022 12:54:6] !aol
[13/2/2022 14:9:54] !aol
[13/2/2022 14:10:25] !aol
[13/2/2022 14:10:59] !aol
[13/2/2022 14:42:46] !aol
[13/2/2022 14:45:14] !aol
[13/2/2022 14:51:49] !aol
[13/2/2022 15:6:34] !aol
[13/2/2022 15:7:22] !aol
[13/2/2022 16:0:12] !aol
[13/2/2022 16:16:29] !online
[13/2/2022 16:24:2] !aol
[13/2/2022 17:36:20] !aol
[13/2/2022 18:10:25] !aol
[13/2/2022 18:11:18] !aol
[13/2/2022 18:12:41] !aol
[13/2/2022 18:17:2] !aol
[13/2/2022 18:22:15] !aol
[13/2/2022 19:46:58] !aol
[13/2/2022 20:40:42] !aol
[13/2/2022 20:40:47] !aol
[13/2/2022 20:41:59] !aol
[13/2/2022 21:39:31] !aol
[13/2/2022 21:54:11] !aol
[14/2/2022 18:38:23] !aol
