[10/12/2021 23:40:29] !emotespells on
[10/12/2021 23:42:42] !wand ice
[10/12/2021 23:52:10] !aol
[11/12/2021 0:2:38] !aol
[11/12/2021 0:4:3] 
[11/12/2021 0:6:2] !aol
[11/12/2021 0:6:11] !wand energy
[11/12/2021 0:6:48] !aol
[11/12/2021 0:7:35] !aol
[11/12/2021 0:9:21] 
[11/12/2021 0:9:23] 
[11/12/2021 0:9:38] 
[11/12/2021 0:9:40] 
[11/12/2021 0:9:42] 
[11/12/2021 0:9:44] 
[11/12/2021 0:9:46] 
[11/12/2021 0:9:49] 
[11/12/2021 0:9:51] 
[11/12/2021 0:9:55] 
[11/12/2021 0:10:11] 
[11/12/2021 0:10:13] 
[11/12/2021 0:10:17] 
[11/12/2021 0:10:19] 
[11/12/2021 0:10:21] 
[11/12/2021 0:10:32] 
[11/12/2021 0:10:34] 
[11/12/2021 0:10:38] 
[11/12/2021 0:11:9] 
[11/12/2021 0:11:11] 
[11/12/2021 0:11:13] 
[11/12/2021 0:11:30] 
[11/12/2021 0:11:48] 
[11/12/2021 0:11:50] 
[11/12/2021 0:11:52] 
[11/12/2021 0:11:54] 
[11/12/2021 0:11:56] 
[11/12/2021 0:11:58] 
[11/12/2021 0:12:0] 
[11/12/2021 0:12:2] 
[11/12/2021 0:12:4] 
[11/12/2021 0:12:7] 
[11/12/2021 0:12:28] 
[11/12/2021 0:12:30] 
[11/12/2021 0:12:32] 
[11/12/2021 0:12:34] 
[11/12/2021 0:12:42] 
[11/12/2021 0:12:58] 
[11/12/2021 0:13:4] 
[11/12/2021 0:13:32] 
[11/12/2021 0:13:34] 
[11/12/2021 0:13:36] 
[11/12/2021 0:13:39] 
[11/12/2021 0:13:42] 
[11/12/2021 0:13:44] 
[11/12/2021 0:13:46] 
[11/12/2021 0:13:50] 
[11/12/2021 0:13:52] 
[11/12/2021 0:13:56] 
[11/12/2021 0:14:25] 
[11/12/2021 0:14:42] 
[11/12/2021 0:15:38] 
[11/12/2021 0:15:40] 
[11/12/2021 0:15:42] 
[11/12/2021 0:15:59] 
[11/12/2021 0:16:1] 
[11/12/2021 0:16:3] 
[11/12/2021 0:16:5] 
[11/12/2021 0:16:13] 
[11/12/2021 0:16:15] 
[11/12/2021 0:16:17] 
[11/12/2021 0:16:19] 
[11/12/2021 0:16:21] 
[11/12/2021 0:16:26] 
[11/12/2021 0:16:28] 
[11/12/2021 0:16:30] 
[11/12/2021 0:16:32] 
[11/12/2021 0:16:34] 
[11/12/2021 0:16:39] 
[11/12/2021 0:16:41] 
[11/12/2021 0:16:58] 
[11/12/2021 0:17:0] 
[11/12/2021 0:17:2] 
[11/12/2021 0:17:4] 
[11/12/2021 0:17:6] 
[11/12/2021 0:17:45] 
[11/12/2021 0:17:47] 
[11/12/2021 0:17:49] 
[11/12/2021 0:17:53] 
[11/12/2021 0:17:55] 
[11/12/2021 0:17:58] 
[11/12/2021 0:18:0] 
[11/12/2021 0:18:3] 
[11/12/2021 0:18:5] 
[11/12/2021 0:18:7] 
[11/12/2021 0:18:38] 
[11/12/2021 0:18:58] 
[11/12/2021 0:19:18] 
[11/12/2021 0:19:20] 
[11/12/2021 0:19:38] 
[11/12/2021 0:19:59] 
[11/12/2021 0:20:1] 
[11/12/2021 0:20:5] 
[11/12/2021 0:20:7] 
[11/12/2021 0:20:10] 
[11/12/2021 0:20:12] 
[11/12/2021 0:20:16] 
[11/12/2021 0:20:18] 
[11/12/2021 0:20:20] 
[11/12/2021 0:20:41] 
[11/12/2021 0:21:28] 
[11/12/2021 0:21:34] 
[11/12/2021 0:21:36] 
[11/12/2021 0:22:19] 
[11/12/2021 0:23:22] 
[11/12/2021 0:23:25] 
[11/12/2021 0:23:27] 
[11/12/2021 0:23:29] 
[11/12/2021 0:23:31] 
[11/12/2021 0:23:33] 
[11/12/2021 0:23:35] 
[11/12/2021 0:24:12] 
[11/12/2021 0:24:15] 
[11/12/2021 0:24:17] 
[11/12/2021 0:24:56] 
[11/12/2021 0:26:7] !aol
[11/12/2021 0:27:23] 
[11/12/2021 0:27:27] 
[11/12/2021 0:27:29] 
[11/12/2021 0:27:32] 
[11/12/2021 0:27:34] 
[11/12/2021 0:27:36] 
[11/12/2021 0:27:38] 
[11/12/2021 0:27:40] 
[11/12/2021 0:27:42] 
[11/12/2021 0:27:59] 
[11/12/2021 0:28:10] 
[11/12/2021 0:28:12] 
[11/12/2021 0:28:15] 
[11/12/2021 0:28:17] 
[11/12/2021 0:28:21] 
[11/12/2021 0:28:51] 
[11/12/2021 0:28:53] 
[11/12/2021 0:28:56] 
[11/12/2021 0:29:2] 
[11/12/2021 0:29:4] 
[11/12/2021 0:29:6] 
[11/12/2021 0:29:43] 
[11/12/2021 0:30:3] 
[11/12/2021 0:30:5] 
[11/12/2021 0:30:8] 
[11/12/2021 0:30:10] 
[11/12/2021 0:30:20] 
[11/12/2021 0:30:24] 
[11/12/2021 0:30:26] 
[11/12/2021 0:30:28] 
[11/12/2021 0:30:30] 
[11/12/2021 0:31:0] 
[11/12/2021 0:31:2] 
[11/12/2021 0:31:5] 
[11/12/2021 0:31:7] 
[11/12/2021 0:31:9] 
[11/12/2021 0:31:34] 
[11/12/2021 0:31:36] 
[11/12/2021 0:31:38] 
[11/12/2021 0:31:40] 
[11/12/2021 0:32:5] 
[11/12/2021 0:32:7] 
[11/12/2021 0:32:14] 
[11/12/2021 0:32:16] 
[11/12/2021 0:32:18] 
[11/12/2021 0:33:14] 
[11/12/2021 0:33:17] 
[11/12/2021 0:33:19] 
[11/12/2021 0:33:23] 
[11/12/2021 0:33:43] 
[11/12/2021 0:33:45] 
[11/12/2021 0:33:47] 
[11/12/2021 0:34:33] 
[11/12/2021 0:34:35] 
[11/12/2021 0:34:37] 
[11/12/2021 0:34:39] 
[11/12/2021 0:35:11] 
[11/12/2021 0:35:16] 
[11/12/2021 0:35:18] 
[11/12/2021 0:35:26] 
[11/12/2021 0:35:28] 
[11/12/2021 0:35:30] 
[11/12/2021 0:36:7] 
[11/12/2021 0:36:30] 
[11/12/2021 0:36:32] 
[11/12/2021 0:37:12] 
[11/12/2021 0:37:17] 
[11/12/2021 0:38:2] 
[11/12/2021 0:38:6] 
[11/12/2021 0:38:8] 
[11/12/2021 0:38:10] 
[11/12/2021 0:38:12] 
[11/12/2021 0:38:16] 
[11/12/2021 0:39:11] 
[11/12/2021 0:39:13] 
[11/12/2021 0:39:15] 
[11/12/2021 0:39:43] 
[11/12/2021 0:39:46] 
[11/12/2021 0:40:10] 
[11/12/2021 0:40:13] 
[11/12/2021 0:41:18] 
[11/12/2021 0:41:20] 
[11/12/2021 0:41:22] 
[11/12/2021 0:41:24] 
[11/12/2021 0:42:22] 
[11/12/2021 0:42:24] 
[11/12/2021 0:42:26] 
[11/12/2021 0:42:40] 
[11/12/2021 0:42:43] 
[11/12/2021 0:42:45] 
[11/12/2021 0:42:47] 
[11/12/2021 0:42:49] 
[11/12/2021 0:42:51] 
[11/12/2021 0:43:42] 
[11/12/2021 0:43:45] 
[11/12/2021 0:43:47] 
[11/12/2021 0:44:17] 
[11/12/2021 0:44:19] 
[11/12/2021 0:44:22] 
[11/12/2021 0:45:27] 
[11/12/2021 0:45:29] 
[11/12/2021 0:45:31] 
[11/12/2021 0:45:33] 
[11/12/2021 0:45:35] 
[11/12/2021 0:45:37] 
[11/12/2021 0:45:39] 
[11/12/2021 0:45:42] 
[11/12/2021 0:45:44] 
[11/12/2021 0:45:46] 
[11/12/2021 0:45:50] !wand energy
[11/12/2021 0:46:46] 
[11/12/2021 0:46:57] 
[11/12/2021 0:46:59] 
[11/12/2021 0:47:2] 
[11/12/2021 0:47:24] 
[11/12/2021 0:47:27] 
[11/12/2021 0:47:29] 
[11/12/2021 0:47:31] 
[11/12/2021 0:47:33] 
[11/12/2021 0:47:35] 
[11/12/2021 0:47:37] 
[11/12/2021 0:47:39] 
[11/12/2021 0:47:42] 
[11/12/2021 0:47:44] 
[11/12/2021 0:49:34] 
[11/12/2021 0:49:45] 
[11/12/2021 0:49:47] 
[11/12/2021 0:49:49] 
[11/12/2021 0:49:51] 
[11/12/2021 0:49:53] 
[11/12/2021 0:49:55] 
[11/12/2021 0:49:57] 
[11/12/2021 0:49:59] 
[11/12/2021 0:50:3] 
