[9/12/2021 19:28:14] /t
[9/12/2021 19:31:3] /a
[9/12/2021 19:31:4] /a 2
[9/12/2021 19:32:9] /clean
[9/12/2021 19:37:52] /goto pharaot
[9/12/2021 19:38:8] /goto pharaot
[9/12/2021 19:38:23] /c pharaot
[9/12/2021 19:43:6] /a 2
[9/12/2021 19:43:6] /a 2
[9/12/2021 19:43:7] /a 2
[9/12/2021 19:43:8] /a 2
[9/12/2021 19:43:9] /a 2
[9/12/2021 19:43:9] /a 2
[9/12/2021 19:43:21] /a 2
[9/12/2021 19:43:21] /a 2
[9/12/2021 19:43:21] /a 2
[9/12/2021 19:43:21] /a 2
[9/12/2021 19:43:21] /a 2
[9/12/2021 19:43:21] /a 2
[9/12/2021 19:43:22] /a 2
[9/12/2021 19:43:22] /a 2
[9/12/2021 19:43:22] /a 2
[9/12/2021 19:43:22] /a 2
[9/12/2021 19:43:23] /a 2
[9/12/2021 19:43:23] /a 2
[9/12/2021 19:43:23] /a 2
[9/12/2021 19:43:23] /a 2
[9/12/2021 19:43:23] /a 2
[9/12/2021 19:43:24] /a 2
[9/12/2021 19:43:24] /a 2
[9/12/2021 19:43:24] /a 2
[9/12/2021 19:43:24] /a 2
[9/12/2021 19:43:24] /a 2
[9/12/2021 19:43:25] /a 2
[9/12/2021 19:43:25] /a 2
[9/12/2021 19:43:25] /a 2
[9/12/2021 19:43:25] /a 2
[9/12/2021 19:43:25] /a 2
[9/12/2021 19:43:26] /a 2
[9/12/2021 19:43:26] /a 2
[9/12/2021 19:43:26] /a 2
[9/12/2021 19:43:26] /a 2
[9/12/2021 19:43:26] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:27] /a 2
[9/12/2021 19:43:41] /a 10
[9/12/2021 19:43:42] /a 10
[9/12/2021 19:43:43] /a 10
[9/12/2021 19:43:43] /a 10
[9/12/2021 19:43:44] /a 10
[9/12/2021 19:43:46] /a 10
[9/12/2021 19:43:48] /a 10
[9/12/2021 19:43:50] /a 10
[9/12/2021 19:43:58] /a 10
[9/12/2021 19:43:59] /a 10
[9/12/2021 19:44:0] /a 10
[9/12/2021 19:44:1] /a 10
[9/12/2021 19:44:2] /a 10
[9/12/2021 19:44:3] /a 10
[9/12/2021 19:44:3] /a 10
[9/12/2021 19:44:5] /a 10
[9/12/2021 19:44:6] /a 10
[9/12/2021 19:44:6] /a 10
[9/12/2021 19:44:7] /a 10
[9/12/2021 19:44:11] /a 10
[9/12/2021 19:44:11] /a 10
[9/12/2021 19:44:12] /a 10
[9/12/2021 19:44:13] /a 10
[9/12/2021 19:44:14] /a 10
[9/12/2021 19:44:15] /a 10
[9/12/2021 19:44:16] /a 10
[9/12/2021 19:44:17] /a 10
