[1/6/2022 3:26:40] !aol
[1/6/2022 3:49:53] !emotespells on
[1/6/2022 4:38:7] !aol
[1/6/2022 5:13:22] !aol
[1/6/2022 5:23:8] !aol
[1/6/2022 5:42:22] !aol
[1/6/2022 5:44:55] !aol
[1/6/2022 6:0:13] !aol
[1/6/2022 6:39:38] !aol
[1/6/2022 6:48:4] !aol
[1/6/2022 13:52:13] !aol
[1/6/2022 15:6:15] !aol
[1/6/2022 15:19:37] !tradeoff add,pharaot hat
[1/6/2022 15:19:49] !tradeoff remove,56
[1/6/2022 15:33:27] !tradeoff withdraw
[1/6/2022 15:41:43] !tradeoff add,10000
[1/6/2022 15:44:17] !tradeoff buy, 58
[1/6/2022 16:20:50] !aol
[1/6/2022 16:26:44] !aol
[1/6/2022 17:17:29] 
[1/6/2022 17:22:43] 
[1/6/2022 17:35:59] !aol
[1/6/2022 18:54:39] !aol
[2/6/2022 9:27:5] 
[2/6/2022 9:27:15] 
[2/6/2022 9:47:15] 
[2/6/2022 9:51:15] 
[2/6/2022 11:52:54] 
[2/6/2022 11:53:19] 
[2/6/2022 11:55:19] 
[2/6/2022 11:57:19] 
[2/6/2022 12:12:20] 
[2/6/2022 19:54:7] 
[2/6/2022 19:56:7] 
[2/6/2022 20:4:20] 
[2/6/2022 21:43:20] 
[2/6/2022 21:43:34] 
[2/6/2022 22:6:21] 
[2/6/2022 22:8:21] 
