[23/2/2022 20:7:49] !emotespells
[23/2/2022 20:7:52] !emotespells on
[24/2/2022 12:5:32] !emotespells on
[24/2/2022 12:6:38] !emotespells on
[24/2/2022 12:7:34] !emotespells on
[24/2/2022 12:8:17] !emotespells on
[24/2/2022 12:9:13] !emotespells on
[24/2/2022 12:10:9] !emotespells on
[24/2/2022 12:11:5] !emotespells on
[24/2/2022 12:12:1] !emotespells on
[24/2/2022 12:12:24] !emotespells on
[24/2/2022 12:13:20] !emotespells on
[24/2/2022 12:14:16] !emotespells on
[24/2/2022 12:15:12] !emotespells on
[24/2/2022 12:16:8] !emotespells on
[24/2/2022 12:17:4] !emotespells on
[24/2/2022 12:18:0] !emotespells on
[24/2/2022 12:18:56] !emotespells on
[24/2/2022 12:19:52] !emotespells on
[24/2/2022 12:20:48] !emotespells on
[24/2/2022 12:21:44] !emotespells on
[24/2/2022 12:22:40] !emotespells on
[24/2/2022 12:23:36] !emotespells on
[24/2/2022 12:24:32] !emotespells on
[24/2/2022 12:25:28] !emotespells on
[24/2/2022 12:26:24] !emotespells on
[24/2/2022 12:27:20] !emotespells on
[24/2/2022 12:28:16] !emotespells on
[24/2/2022 12:29:12] !emotespells on
[24/2/2022 12:30:8] !emotespells on
[24/2/2022 12:31:4] !emotespells on
[24/2/2022 12:32:0] !emotespells on
[24/2/2022 12:32:56] !emotespells on
[24/2/2022 12:33:52] !emotespells on
[24/2/2022 12:34:48] !emotespells on
[24/2/2022 12:35:44] !emotespells on
[24/2/2022 12:37:7] !emotespells on
[24/2/2022 12:38:3] !emotespells on
[24/2/2022 12:38:59] !emotespells on
[24/2/2022 12:39:55] !emotespells on
[24/2/2022 12:40:51] !emotespells on
[24/2/2022 12:41:47] !emotespells on
[24/2/2022 12:42:43] !emotespells on
[24/2/2022 12:44:0] !emotespells on
[24/2/2022 12:44:56] !emotespells on
[24/2/2022 12:45:52] !emotespells on
[24/2/2022 12:46:48] !emotespells on
[24/2/2022 12:47:44] !emotespells on
[24/2/2022 12:48:40] !emotespells on
[24/2/2022 12:49:32] !emotespells on
[24/2/2022 12:50:28] !emotespells on
[24/2/2022 12:51:24] !emotespells on
[24/2/2022 12:52:20] !emotespells on
[24/2/2022 12:53:19] !emotespells on
[24/2/2022 12:54:15] !emotespells on
[24/2/2022 12:55:11] !emotespells on
[24/2/2022 12:56:7] !emotespells on
[24/2/2022 12:57:3] !emotespells on
[24/2/2022 12:57:59] !emotespells on
[24/2/2022 12:58:55] !emotespells on
[24/2/2022 12:59:51] !emotespells on
[24/2/2022 13:0:47] !emotespells on
[24/2/2022 13:1:43] !emotespells on
[24/2/2022 13:2:39] !emotespells on
[24/2/2022 13:3:35] !emotespells on
[24/2/2022 13:4:32] !emotespells on
[24/2/2022 13:5:27] !emotespells on
[24/2/2022 13:6:23] !emotespells on
[24/2/2022 13:7:19] !emotespells on
[24/2/2022 13:8:15] !emotespells on
[24/2/2022 13:9:11] !emotespells on
