[31/5/2022 20:32:18] !aol
[31/5/2022 20:38:35] !guildpoints
[31/5/2022 21:14:57] !guildpoints
[31/5/2022 22:34:17] !guildpoints
[1/6/2022 0:18:9] !guildpoints
[1/6/2022 0:25:44] !guildpoints
[1/6/2022 12:9:6] !emotespells on
[1/6/2022 18:34:18] !guildpoints
[2/6/2022 4:49:0] !emotespells on
[2/6/2022 5:6:55] !emotespells on
[2/6/2022 5:33:39] !emotespells on
[2/6/2022 6:1:39] !emotespells on
[2/6/2022 6:59:3] !emotespells on
[2/6/2022 7:35:43] !emotespells on
[2/6/2022 5:12:59] !emotespells on
[2/6/2022 5:48:47] !emotespells on
[2/6/2022 6:26:39] !emotespells on
[2/6/2022 7:3:19] !emotespells on
[2/6/2022 7:37:13] !emotespells on
[2/6/2022 8:18:2] !emotespells on
[2/6/2022 9:1:13] !emotespells on
[2/6/2022 9:41:56] !emotespells on
[2/6/2022 10:31:12] !emotespells on
[2/6/2022 11:17:32] !emotespells on
[2/6/2022 12:7:27] !emotespells on
[2/6/2022 12:54:22] !emotespells on
[2/6/2022 13:33:55] !emotespells on
[2/6/2022 14:18:27] !emotespells on
[2/6/2022 15:8:13] !emotespells on
[2/6/2022 16:3:27] !emotespells on
[2/6/2022 16:59:12] !emotespells on
[2/6/2022 17:54:42] !guildpoints
[2/6/2022 18:28:25] !frags
[3/6/2022 0:3:47] !emotespells on
[3/6/2022 0:9:47] !emotespells on
[3/6/2022 0:16:33] !emotespells on
[3/6/2022 0:22:55] !emotespells on
[3/6/2022 1:2:5] !emotespells on
[3/6/2022 1:4:29] !emotespells on
[3/6/2022 1:10:9] !emotespells on
[3/6/2022 1:11:8] !emotespells on
[3/6/2022 1:45:19] !emotespells on
[3/6/2022 1:51:4] !emotespells on
[3/6/2022 1:54:59] !emotespells on
[3/6/2022 2:0:53] !emotespells on
[3/6/2022 2:7:26] !emotespells on
[3/6/2022 2:14:41] !emotespells on
[3/6/2022 2:19:27] !emotespells on
[3/6/2022 2:23:33] !emotespells on
[3/6/2022 2:27:53] !emotespells on
[3/6/2022 2:31:55] !emotespells on
[3/6/2022 2:35:54] !emotespells on
[3/6/2022 2:40:34] !emotespells on
[3/6/2022 2:45:20] !emotespells on
[3/6/2022 2:49:41] !emotespells on
[3/6/2022 2:54:25] !emotespells on
[3/6/2022 2:58:44] !emotespells on
[3/6/2022 3:3:47] !emotespells on
[3/6/2022 3:8:21] !emotespells on
[3/6/2022 3:12:50] !emotespells on
[3/6/2022 3:18:6] !emotespells on
[3/6/2022 3:22:13] !emotespells on
[3/6/2022 3:31:37] !emotespells on
[3/6/2022 3:37:21] !emotespells on
[3/6/2022 3:42:22] !emotespells on
[3/6/2022 3:47:2] !emotespells on
[3/6/2022 3:52:7] !emotespells on
[3/6/2022 3:55:14] !emotespells on
[3/6/2022 3:59:43] !emotespells on
[3/6/2022 4:4:33] !emotespells on
[3/6/2022 4:9:43] !emotespells on
[3/6/2022 4:15:18] !emotespells on
[3/6/2022 4:20:17] !emotespells on
