[10/2/2022 20:54:40] !aol
[11/2/2022 23:34:40] !aol
[12/2/2022 1:11:45] !guildpoints 
[12/2/2022 1:22:15] !emotespells on
[12/2/2022 1:28:18] !emotespells on
[12/2/2022 1:39:2] !emotespells on
[12/2/2022 1:41:24] !emotespells on
[12/2/2022 1:42:20] !emotespells on
[12/2/2022 1:43:16] !emotespells on
[12/2/2022 1:43:54] !emotespells on
[12/2/2022 1:44:10] !emotespells on
[12/2/2022 1:45:6] !emotespells on
[12/2/2022 2:13:29] !emotespells on
[12/2/2022 2:14:25] !emotespells on
[12/2/2022 2:15:21] !emotespells on
[12/2/2022 2:16:17] !emotespells on
[12/2/2022 2:17:13] !emotespells on
[12/2/2022 2:18:9] !emotespells on
[12/2/2022 2:19:5] !emotespells on
[12/2/2022 2:20:1] !emotespells on
[12/2/2022 2:20:25] !emotespells on
[12/2/2022 2:20:29] !emotespells on
[12/2/2022 2:20:33] !emotespells on
[12/2/2022 2:21:53] !emotespells on
[12/2/2022 2:29:55] !emotespells on
[12/2/2022 2:30:51] !emotespells on
[12/2/2022 2:34:13] !emotespells on
[12/2/2022 2:35:9] !emotespells on
[12/2/2022 2:36:5] !emotespells on
[12/2/2022 2:37:1] !emotespells on
[12/2/2022 2:37:57] !emotespells on
[12/2/2022 2:38:53] !emotespells on
[12/2/2022 2:39:49] !emotespells on
[12/2/2022 2:40:45] !emotespells on
[12/2/2022 2:41:41] !emotespells on
[12/2/2022 2:42:37] !emotespells on
[12/2/2022 2:43:33] !emotespells on
[12/2/2022 2:44:30] !emotespells on
[12/2/2022 2:45:26] !emotespells on
[12/2/2022 2:46:22] !emotespells on
[12/2/2022 2:47:18] !emotespells on
[12/2/2022 2:48:14] !emotespells on
[12/2/2022 2:49:10] !emotespells on
[12/2/2022 2:50:6] !emotespells on
[12/2/2022 2:51:33] !emotespells on
[12/2/2022 2:52:29] !emotespells on
[12/2/2022 2:53:36] !emotespells on
[12/2/2022 2:54:31] !emotespells on
[12/2/2022 2:55:27] !emotespells on
[12/2/2022 2:55:31] !emotespells on
[12/2/2022 2:56:27] !emotespells on
[12/2/2022 2:57:23] !emotespells on
[12/2/2022 2:58:19] !emotespells on
[12/2/2022 2:59:15] !emotespells on
[12/2/2022 3:0:11] !emotespells on
[12/2/2022 3:1:7] !emotespells on
[12/2/2022 3:2:3] !emotespells on
[12/2/2022 3:2:59] !emotespells on
[12/2/2022 3:3:55] !emotespells on
[12/2/2022 3:4:51] !emotespells on
[12/2/2022 3:5:47] !emotespells on
[12/2/2022 3:6:43] !emotespells on
[12/2/2022 3:7:39] !emotespells on
[12/2/2022 3:8:35] !emotespells on
[12/2/2022 3:9:31] !emotespells on
[12/2/2022 3:10:27] !emotespells on
[12/2/2022 3:11:23] !emotespells on
[12/2/2022 3:12:19] !emotespells on
[12/2/2022 11:43:27] !emotespells on
[12/2/2022 11:44:23] !emotespells on
[12/2/2022 11:45:19] !emotespells on
[12/2/2022 11:46:15] !emotespells on
[12/2/2022 11:46:19] !emotespells on
[12/2/2022 11:47:15] !emotespells on
[12/2/2022 11:48:11] !emotespells on
[12/2/2022 11:49:9] !emotespells on
[12/2/2022 11:51:32] !emotespells on
[12/2/2022 11:52:33] !emotespells on
[12/2/2022 11:53:29] !emotespells on
[12/2/2022 11:54:25] !emotespells on
[12/2/2022 11:55:21] !emotespells on
