[9/11/2023 12:37:45] !rank
[9/11/2023 12:37:48] !rank level
[9/11/2023 12:38:11] !rank magic
[9/11/2023 12:38:23] !rank club
[9/11/2023 12:38:30] !rank distance
[9/11/2023 13:27:35] !rank magic
[9/11/2023 13:49:6] !rank magic
[9/11/2023 14:0:56] !rank magic
[9/11/2023 14:39:55] !rank magic
[9/11/2023 15:41:51] !rank magic
[10/11/2023 8:31:45] !rank level
[10/11/2023 8:32:0] !rank magic
[10/11/2023 8:32:20] !rank sword
[10/11/2023 10:36:26] !rank level
[10/11/2023 15:7:41] !rank level
[10/11/2023 15:7:53] !rank magic
[10/11/2023 15:8:4] !rank sword
[13/11/2023 14:23:56] !rank sword
[13/11/2023 14:24:5] !rank level
[13/11/2023 14:24:19] !rank magic
[13/11/2023 14:24:31] !online
